target,real_target,js,jv,time,action
[-0.26873469  0.33158491  0.03498901  0.60689359],[-0.25691247  0.32463121  0.04293525  0.60388392],[-0.25691247  0.32463121  0.04293525  0.60388392],[0. 0. 0. 0.],1725718484.6432738,[25.00046083 -8.24933078  0.17142588 -1.04072581]
[-0.25986844  0.33234577  0.04947971  0.6116311 ],[-0.25691247  0.32463121  0.04293525  0.60388392],[-0.25691562  0.32475612  0.04288139  0.60388392],[-6.30382498e-05  2.49803917e-03 -1.07716402e-03  0.00000000e+00],1725718484.6432738,[  2.68040479 -10.10951214  -1.59824055  12.50028511]
[-0.25145496  0.32771649  0.04282765  0.60165946],[-0.25691247  0.32463121  0.04293525  0.60388392],[-0.25695308  0.32488122  0.04294755  0.60388392],[-0.00074908  0.00250209  0.00132318  0.        ],1725718484.6432738,[-14.81735487  -3.06096959   0.09409644  -7.72267397]
[-0.24461993  0.33685309  0.03766012  0.59174571],[-0.25691247  0.32463121  0.04293525  0.60388392],[-0.25680193  0.32500586  0.04289369  0.60388392],[ 0.00302295  0.00249284 -0.00107718  0.        ],1725718484.6432738,[-28.09114188 -16.93029988   1.20293187 -20.78104439]
[-0.2585024   0.32241648  0.04202373  0.59722512],[-0.25699975  0.32471851  0.04293525  0.60388392],[-0.25672645  0.325133    0.04283984  0.60388392],[ 0.00150948  0.00254284 -0.00107701  0.        ],1725718484.6442544,[ 9.20556483  5.67367601  0.13501659 -6.15950446]
[-0.24458702  0.33057594  0.03620465  0.60062146],[-0.25708702  0.3248058   0.04293525  0.60388392],[-0.25676292  0.325049    0.04278598  0.60388392],[-0.00072926 -0.00168013 -0.00107715  0.        ],1725718484.6442544,[-30.93906579  -8.4773442    1.50600752  -2.67621044]
[-0.25970137  0.32375831  0.05323632  0.60717145],[-0.25708702  0.32489301  0.04284803  0.60388392],[-0.25654378  0.32517394  0.04273213  0.60388392],[ 0.0043827   0.00249874 -0.00107695  0.        ],1725718484.6442544,[12.634621    2.86391561 -2.48314272  7.48354211]
[-0.26372658  0.33748023  0.04603971  0.61318453],[-0.25708702  0.32498023  0.04276081  0.60388392],[-0.25657879  0.32509     0.04279827  0.60388392],[-0.00070022 -0.00167877  0.00132268  0.        ],1725718484.6442544,[ 16.50941026 -18.33431477  -0.63990917  15.16307296]
[-0.26558213  0.3154194   0.0503681   0.59051125],[-0.25708702  0.32498023  0.04276081  0.60301125],[-0.25661015  0.32521808  0.04286445  0.60388392],[-0.00062714  0.00256164  0.0013236   0.        ],1725718484.6452672,[ 19.46943139  16.11525396  -1.6937663  -28.53509921]
[-0.26958702  0.31248023  0.04520861  0.59667257],[-0.25708702  0.32498023  0.04276081  0.60213858],[-0.25663569  0.32513232  0.04293061  0.60388392],[-0.00051075 -0.0017151   0.00132313  0.        ],1725718484.6452672,[28.63456406 17.10983151 -0.44848683 -6.56155674]
[-0.25720112  0.31248023  0.03026081  0.60445853],[-0.25708702  0.32498023  0.04276081  0.60039324],[-0.25668831  0.32504604  0.04299679  0.60388392],[-0.00105247 -0.00172571  0.00132367  0.        ],1725718484.6452672,[-3.82404201 16.57449871  2.95325598  4.4957378 ]
[-0.24458702  0.31559213  0.05096604  0.59765058],[-0.25708702  0.32498023  0.04276081  0.59864789],[-0.25651046  0.32496006  0.04294296  0.60388392],[ 0.00355709 -0.00171957 -0.00107666  0.        ],1725718484.646262,[-29.81488213  11.90721369  -1.97432891 -11.49582987]
[-0.26967424  0.32273502  0.04906499  0.60318709],[-0.25717424  0.32498023  0.04276068  0.59428459],[-0.25635562  0.32487554  0.04300911  0.60388392],[ 0.00309673 -0.00169035  0.00132299  0.        ],1725718484.646262,[37.77118465  1.78936896 -1.31246552  1.73771334]
[-0.24839903  0.33748023  0.03477279  0.59121842],[-0.25726146  0.32498023  0.04276054  0.5899213 ],[-0.2569689   0.32479163  0.04307527  0.60388392],[-0.01226568 -0.00167824  0.00132332  0.        ],1725718484.646262,[-26.52635767 -18.87485242   1.97127867 -22.46342641]
[-0.25814665  0.33739294  0.03574984  0.57043998],[-0.25734875  0.32489294  0.04249889  0.58293998],[-0.2569494   0.32492015  0.04302143  0.60388392],[ 0.00039009  0.00257031 -0.0010769   0.        ],1725718484.646262,[  6.34658546 -16.4331474    1.58935696 -54.1196503 ]
[-0.26374425  0.31547152  0.03829913  0.56928684],[-0.25743604  0.32480565  0.04223723  0.57595867],[-0.25698647  0.32504702  0.04296758  0.60388392],[-0.00074146  0.0025374  -0.00107697  0.        ],1725718484.6472595,[ 16.3123909   15.80049411   1.00081917 -46.22165014]
[-0.26278846  0.312393    0.04440244  0.55124136],[-0.2576106   0.324893    0.04241154  0.56374136],[-0.25701811  0.32496141  0.04291373  0.60388392],[-0.00063277 -0.00171211 -0.00107706  0.        ],1725718484.6472595,[ 11.67136314  17.01937008  -0.38958141 -78.15002109]
[-0.24528517  0.33160865  0.05508584  0.54626744],[-0.25778517  0.32498035  0.04258584  0.55152404],[-0.25705366  0.32487519  0.04297991  0.58504161],[-0.00071094 -0.0017245   0.0013237  -0.37684623],1725718484.6472595,[-31.49942164 -11.65528639  -2.77032667 -44.52508422]
[-0.24545968  0.33739956  0.04705497  0.53346009],[-0.25795968  0.32498029  0.04267333  0.53843409],[-0.25679808  0.32500053  0.04304604  0.58504161],[0.00511161 0.00250693 0.00132251 0.        ],1725718484.6482565,[-23.5279713  -17.1789371   -0.80034729 -74.23513884]
[-0.27063419  0.33748023  0.04536706  0.5279345 ],[-0.25813419  0.32498023  0.04276081  0.52534413],[-0.2567417   0.32512782  0.04311221  0.57296787],[ 0.00112765  0.00254575  0.00132354 -0.24147474],1725718484.6482565,[ 38.96618403 -16.29849599  -0.47838467 -56.30094918]
[-0.26149505  0.32845273  0.05491167  0.49757545],[-0.25857055  0.32498023  0.04241167  0.50789084],[-0.25754303  0.32525463  0.0431784   0.57296787],[-0.01602665  0.00253619  0.00132367  0.        ],1725718484.6482565,[   4.34716849   -2.90913467   -2.67686322 -114.0903402 ]
[-0.26904445  0.33748023  0.02964772  0.48500324],[-0.25900692  0.32498023  0.04206253  0.49043754],[-0.25758037  0.32537928  0.04324453  0.52296787],[-7.46777222e-04  2.49302812e-03  1.32258100e-03 -1.00000000e+00],1725718484.6482565,[ 26.91669148 -17.24956304   3.24662452 -32.14798037]
[-0.27203048  0.32595277  0.05464975  0.46332099],[-0.25953048  0.32489301  0.04214975  0.46774825],[-0.25760478  0.32550663  0.04319069  0.52296787],[-0.00048823  0.00254689 -0.00107662  0.        ],1725718484.6492538,[ 31.31541905   1.08192861  -2.77355543 -89.14136161]
[-0.26521295  0.31913199  0.04271979  0.45755897],[-0.26005405  0.3248058   0.04223697  0.44505897],[-0.25772909  0.3254227   0.04325682  0.48549844],[-0.00248629 -0.00167853  0.00132252 -0.74938862],1725718484.6492538,[ 12.90894797   9.26953442   0.23906743 -21.66054437]
[-0.27032453  0.33739307  0.05473697  0.43399702],[-0.26022856  0.32489307  0.04223697  0.42149702],[-0.25776397  0.32533848  0.04320296  0.48549844],[-0.00069759 -0.00168435 -0.0010772   0.        ],1725718484.6492538,[ 28.24976292 -18.54204245  -2.659158   -79.29161956]
[-0.25984839  0.3276252   0.05221956  0.41043506],[-0.26040307  0.32498035  0.04223697  0.39793506],[-0.25780937  0.32546674  0.04326909  0.46495143],[-0.00090801  0.00256512  0.00132259 -0.41094024],1725718484.6502283,[  0.12027051  -1.4304665   -1.94306196 -73.40877747]
[-0.24825214  0.32102518  0.05159039  0.36358595],[-0.26075214  0.32498029  0.04223697  0.37000979],[-0.25784699  0.32559136  0.04333524  0.45455807],[-0.00075237  0.0024925   0.00132302 -0.20786727],1725718484.6502283,[ -24.63232621    6.99139908   -1.80912458 -137.58195392]
[-0.27360122  0.33748023  0.02973697  0.34698948],[-0.26110122  0.32498023  0.04223697  0.34208453],[-0.25781452  0.32550729  0.0434014   0.40455807],[ 6.49386219e-04 -1.68153760e-03  1.32309243e-03 -1.00000000e+00],1725718484.6502283,[ 42.98436687 -18.17533456   3.22712318 -59.95683897]
[-0.27074051  0.33207363  0.03042255  0.30473505],[-0.26179937  0.3251548   0.04232432  0.31415926],[-0.25970591  0.32563526  0.04334756  0.40455807],[-0.03782775  0.00255953 -0.00107665  0.        ],1725718484.6512523,[  21.19188349   -7.7052049     2.83604917 -152.04850708]
[-0.25976166  0.31625897  0.04112448  0.28077342],[-0.26249751  0.32532936  0.04241167  0.28623399],[-0.25972592  0.32576016  0.04329373  0.35455807],[-4.00188342e-04  2.49787190e-03 -1.07674574e-03 -1.00000000e+00],1725718484.6512523,[ -4.25445635  14.82665781   0.36881568 -84.89732233]
[-0.2505211   0.31291658  0.02999889  0.26531301],[-0.2630211   0.32541658  0.04249889  0.2539454 ],[-0.25954791  0.3256749   0.04323987  0.32384195],[ 0.00356027 -0.0017051  -0.00107719 -0.61432229],1725718484.6512523,[-22.43304937  17.30792601   3.02461815 -69.93546102]
[-0.26772964  0.32607339  0.03008611  0.22295459],[-0.26354468  0.3255038   0.04258611  0.22165681],[-0.25947129  0.32558847  0.04318603  0.31851207],[ 0.00153235 -0.00172858 -0.00107668 -0.10659772],1725718484.6522465,[  24.06339661   -2.5386468     2.88056175 -143.90957306]
[-0.25156832  0.33800387  0.05177722  0.20408125],[-0.26406832  0.32550387  0.04258611  0.19373155],[-0.25947572  0.32571313  0.0431322   0.26851207],[-8.85963250e-05  2.49307453e-03 -1.07671034e-03 -1.00000000e+00],1725718484.6522465,[-22.8892998  -17.91626756  -2.12109387 -70.1078856 ]
[-0.27369846  0.32042952  0.03427245  0.1644031 ],[-0.26459196  0.32550395  0.04258611  0.16580628],[-0.25940706  0.32584092  0.04319834  0.26317654],[ 0.00137322  0.00255591  0.00132291 -0.1067106 ],1725718484.6522465,[  38.6064883     9.6808265     2.14081226 -146.86539176]
[-0.25270282  0.33809122  0.03448282  0.14689035],[-0.26520282  0.32559122  0.04249876  0.13439035],[-0.26014875  0.32575665  0.0431445   0.21317654],[-0.0148338  -0.0016854  -0.00107689 -1.        ],1725718484.653243,[-24.11780066 -18.82569566   1.90290536 -71.90387806]
[-0.25331368  0.3131785   0.04255391  0.09716975],[-0.26581368  0.3256785   0.04241141  0.10297443],[-0.26010449  0.32588516  0.04309065  0.20445011],[ 0.00088515  0.00257017 -0.00107693 -0.17452847],1725718484.653243,[-1.39349406e+01  2.03627041e+01  3.61845148e-02 -1.61287288e+02]
[-0.27883726  0.33826571  0.04602866  0.07001948],[-0.26633726  0.32576571  0.04232419  0.07679449],[-0.25994862  0.32579579  0.04303679  0.15445011],[ 0.00311735 -0.00178731 -0.0010772  -1.        ],1725718484.653243,[  49.58468685  -20.06961001   -0.69377906 -100.48055756]
[-0.25436084  0.32107373  0.05200082  0.05792645],[-0.26686084  0.32585293  0.04223697  0.05061455],[-0.26643354  0.32592553  0.04310297  0.10445011],[-0.12969846  0.00259482  0.00132359 -1.        ],1725718484.653243,[-37.4183309    8.88762138  -2.01705915 -43.21589314]
[-0.26112296  0.32890579  0.02964975  0.0178345 ],[-0.26729719  0.32585293  0.04214975  0.02181667],[-0.26552597  0.32584133  0.04316912  0.10445011],[ 0.01815142 -0.00168411  0.00132297  0.        ],1725718484.6542413,[  -6.18350112   -5.17996221    3.20022672 -133.5767358 ]
[-0.26738328  0.33835293  0.02956253 -0.0185196 ],[-0.26773354  0.32585293  0.04206253 -0.00698121],[-0.26534908  0.32596608  0.04311529  0.05445011],[ 0.00353781  0.00249504 -0.00107662 -1.        ],1725718484.6542413,[  6.78516855 -17.68709947   2.98194292 -89.76998879]
[-0.26793471  0.32508967  0.04428509 -0.04653387],[-0.26825713  0.32594015  0.04188796 -0.03403387],[-0.26538637  0.32609373  0.04306145  0.00445011],[-7.45823115e-04  2.55293320e-03 -1.07667316e-03 -1.00000000e+00],1725718484.6542413,[  5.52839279   3.24507208  -0.41814557 -56.7457026 ]
[-0.27431404  0.31352736  0.02954328 -0.05842364],[-0.26878071  0.32602736  0.04171339 -0.06108652],[-0.26542385  0.32600975  0.04312764  0.00445011],[-0.00074955 -0.00167958  0.00132369  0.        ],1725718484.6542413,[ 21.07665128  18.1222813    3.13782332 -88.70045132]
[-0.26360868  0.31352744  0.05401734 -0.08840477],[-0.26912978  0.32602744  0.04171339 -0.09162979],[-0.26544441  0.32592273  0.04307381 -0.03307221],[-4.11236736e-04 -1.74035735e-03 -1.07663238e-03 -7.50446519e-01],1725718484.655238,[ -8.05840964  16.34930039  -2.65481779 -69.4191943 ]
[-0.26218707  0.33311972  0.02921339 -0.10967305],[-0.26947886  0.32602751  0.04171339 -0.12217305],[-0.26527044  0.32583684  0.04313994 -0.03674588],[ 0.0034795  -0.0017179   0.00132259 -0.07347342],1725718484.655238,[  -6.93531948  -12.43447461    3.31453066 -104.70926951]
[-0.27172732  0.3163403   0.03296484 -0.16232291],[-0.27000244  0.32602751  0.04171339 -0.15707963],[-0.26509466  0.32596237  0.04308611 -0.08674588],[ 0.00351562  0.0025107  -0.00107658 -1.        ],1725718484.655238,[  17.6865065    15.12462963    2.18832084 -101.03360923]
[-0.26791177  0.33505913  0.02921339 -0.18640522],[-0.27052602  0.32602751  0.04171339 -0.19198622],[-0.26512437  0.325877    0.04303227 -0.13674588],[-5.94247052e-04 -1.70736265e-03 -1.07685878e-03 -1.00000000e+00],1725718484.6562378,[  4.3121638  -14.81617809   3.07742433 -53.1098311 ]
[-0.27834626  0.33667626  0.04510193 -0.22616841],[-0.27096237  0.32620208  0.04162617 -0.21991159],[-0.26516197  0.32600321  0.04297843 -0.13674588],[-0.00075209  0.00252413 -0.00107664  0.        ],1725718484.6562378,[  31.64737316  -14.30217373   -0.62786828 -137.12407048]
[-0.26698442  0.33887665  0.02903895 -0.24528391],[-0.27139872  0.32637665  0.04153895 -0.24783696],[-0.26529936  0.32612924  0.04304461 -0.18674588],[-0.00274777  0.00252072  0.00132361 -1.        ],1725718484.6562378,[ -1.00433218 -17.12394915   3.24382711 -62.4456338 ]
[-0.26941117  0.33041631  0.0469536  -0.29524355],[-0.2717478   0.32637659  0.0414516  -0.28274355],[-0.2651178   0.32625654  0.04299078 -0.18674588],[ 0.00363129  0.00254592 -0.00107659  0.        ],1725718484.6562378,[   9.99977139   -4.25977403   -1.05294173 -167.19754692]
[-0.26995831  0.33231221  0.03187035 -0.32775152],[-0.27209687  0.32637653  0.04136425 -0.31765014],[-0.2651543   0.32638127  0.04305696 -0.23674588],[-7.29980829e-04  2.49459547e-03  1.32343610e-03 -1.00000000e+00],1725718484.6572325,[  10.2413744    -8.08275133    2.61376017 -111.73126024]
[-0.26664006  0.33887653  0.05042484 -0.35955014],[-0.27192231  0.32637653  0.04136438 -0.34819341],[-0.26519071  0.32650622  0.04300312 -0.28674588],[-7.28320368e-04  2.49901213e-03 -1.07675799e-03 -1.00000000e+00],1725718484.6572325,[  1.70874934 -17.25195279  -1.82035174 -87.36495759]
[-0.28424774  0.33887653  0.03033428 -0.374216  ],[-0.27174774  0.32637653  0.04136452 -0.37873667],[-0.26522851  0.32663361  0.04306927 -0.32091267],[-0.00075603  0.00254774  0.00132307 -0.68333566],1725718484.6572325,[ 46.66568035 -16.14239161   3.00487692 -60.9999623 ]
[-0.26923687  0.31935741  0.05042078 -0.40936206],[-0.27043873  0.32655102  0.0411026  -0.40927993],[-0.26914936  0.3267604   0.04301544 -0.32091267],[-0.07841692  0.00253576 -0.00107666  0.        ],1725718484.6572325,[  -7.26863603   12.5883723    -1.83218863 -133.62330826]
[-0.2626465   0.31628197  0.02911574 -0.45232318],[-0.26912972  0.32672551  0.04084067 -0.43982318],[-0.26897337  0.32667569  0.04308159 -0.37091267],[ 0.00351988 -0.00169412  0.00132307 -1.        ],1725718484.6582298,[ -15.74785913   14.148464      3.28790997 -104.08321409]
[-0.25392448  0.316531    0.03934884 -0.48199373],[-0.26642448  0.32637651  0.04101524 -0.46949373],[-0.26882547  0.32659061  0.04302776 -0.42091267],[ 0.00295796 -0.00170151 -0.00107658 -1.        ],1725718484.6582298,[-34.51784439  13.23079845   0.70567097 -70.86886967]
[-0.25198668  0.32247713  0.02868981 -0.50496322],[-0.26371923  0.32602751  0.04118981 -0.49916428],[-0.26830485  0.32650578  0.04297391 -0.42801115],[ 0.01041239 -0.00169672 -0.00107711 -0.14196967],1725718484.6582298,[ -34.66276089    4.45321515    3.24940114 -109.19480618]
[-0.25262405  0.32204001  0.0456954  -0.52229323],[-0.26005405  0.32602751  0.04127703 -0.52447149],[-0.26776875  0.32642176  0.04292008 -0.47801115],[ 0.01072204 -0.00168041 -0.00107658 -1.        ],1725718484.6592274,[-31.19052776   5.83452081  -0.78252927 -42.77074419]
[-0.26012572  0.33852751  0.03147897 -0.53871322],[-0.25638887  0.32602751  0.04136425 -0.5497787 ],[-0.26753093  0.3263377   0.04298626 -0.47801115],[ 0.00475632 -0.00168119  0.00132355  0.        ],1725718484.6592274,[-12.43062022 -18.46625309   2.67557055 -88.00833221]
[-0.23786747  0.32439246  0.04582873 -0.58744566],[-0.25036747  0.3259403   0.04118968 -0.57857653],[-0.26736781  0.32646593  0.04293242 -0.51389007],[ 0.00326242  0.00256463 -0.00107673 -0.71757837],1725718484.6592274,[ -70.35235323    4.78177155   -0.78237711 -103.26307434]
[-0.23770282  0.33591684  0.03952737 -0.61987437],[-0.24434607  0.32585308  0.04101511 -0.60737437],[-0.24581841  0.3263819   0.0429986  -0.56389007],[ 0.43098789 -0.00168056  0.00132355 -1.        ],1725718484.6592274,[ -8.54456486 -14.25030487   0.82785489 -65.46505599]
[-0.24620372  0.32599034  0.04606447 -0.62834477],[-0.23692843  0.32567844  0.04084067 -0.63268185],[-0.24564884  0.32650794  0.04294474 -0.56389007],[ 0.00339154  0.00252066 -0.00107709  0.        ],1725718484.6602254,[  4.57241502   2.12435127  -0.75277713 -89.14599533]
[-0.24033191  0.32931489  0.03386179 -0.66526867],[-0.2295108   0.3255038   0.04066623 -0.65798932],[-0.24568575  0.32642396  0.04301092 -0.60147037],[-7.38293790e-04 -1.67952295e-03  1.32355861e-03 -7.51606065e-01],1725718484.6602254,[-13.51521741  -4.30467878   2.13647991 -83.89867704]
[-0.20985495  0.31984128  0.03718573 -0.67416304],[-0.22235495  0.32515472  0.04057902 -0.6745699 ],[-0.24553041  0.3265487   0.04295708 -0.63059139],[ 0.00310692  0.00249475 -0.00107686 -0.58242032],1725718484.6602254,[-86.49629309  10.22980197   1.23564751 -47.80579442]
[-0.20693262  0.32873557  0.0279918  -0.68480974],[-0.2151991   0.32480565  0.0404918  -0.69115049],[-0.22212522  0.32646435  0.04290323 -0.63059139],[ 0.46810363 -0.00168702 -0.00107702  0.        ],1725718484.661222,[-23.69048226  -4.28518822   3.37264654 -76.67863781]
[-0.19405974  0.31684855  0.03539947 -0.7037458 ],[-0.20655974  0.32227504  0.04040431 -0.70598564],[-0.22207393  0.32658908  0.0428494  -0.64786701],[ 0.0010258   0.00249476 -0.00107653 -0.34551236],1725718484.661222,[-63.59624684  14.57950354   1.5637721  -74.55701373]
