target,real_target,js,jv,time,action
[-0.12651873 -0.15765308  0.01477055  0.8928237 ],[-0.11728612 -0.17278762  0.1391028   0.91804314],[-0.11711155 -0.17296219  0.1391028   0.91804314],[0. 0. 0. 0.],1728752638.7793937,[ 25.45842865 -22.38464063  27.1088955  -39.3772939 ]
[-0.12677354 -0.15750423  0.01471777  0.8929122 ],[-0.11746069 -0.17261305  0.1391028   0.91804314],[-0.1171182  -0.17283365  0.13909341  0.91804314],[-0.00013299  0.0025708  -0.00018791  0.        ],1728752638.7801661,[ 20.27733077 -20.2377413   27.36307674 -33.13029258]
[-0.12681341 -0.15758511  0.01467618  0.89305246],[-0.11746069 -0.17261305  0.1391028   0.91804314],[-0.11713888 -0.17270821  0.13908741  0.91804314],[-0.00041364  0.00250885 -0.00011993  0.        ],1728752638.7809658,[ 20.22731228 -19.93289472  27.37082857 -32.92037395]
[-0.1268239  -0.15775989  0.01467571  0.8932171 ],[-0.11746069 -0.17261305  0.1391028   0.91804314],[-0.1171597  -0.1725831   0.13908152  0.91804314],[-0.00041648  0.00250214 -0.00011778  0.        ],1728752638.7817192,[ 20.19411457 -19.52364121  27.36922458 -32.69131235]
[-0.1268263  -0.1580284   0.01467448  0.8933667 ],[-0.11746069 -0.17261305  0.1391028   0.91804314],[-0.11718062 -0.17245841  0.13907561  0.91804314],[-0.00041834  0.0024938  -0.00011822  0.        ],1728752638.7824728,[ 20.15215957 -18.99124898  27.3682019  -32.50113192]
[-0.12680106 -0.158365    0.01474314  0.8935063 ],[-0.11746069 -0.17261305  0.1391028   0.91804314],[-0.11720166 -0.17233421  0.13906968  0.91804314],[-0.00042068  0.00248402 -0.00011851  0.        ],1728752638.7832046,[ 20.04454504 -18.37328997  27.35108744 -32.32163721]
[-0.12678239 -0.15882838  0.0149622   0.89352185],[-0.11746069 -0.17270027  0.13927723  0.91804314],[-0.11722298 -0.17221051  0.13906352  0.91804314],[-0.00042657  0.002474   -0.00012325  0.        ],1728752638.7839146,[ 19.96340263 -17.58024539  27.30002134 -32.36056404]
[-0.12678927 -0.15932474  0.01517094  0.89337575],[-0.11746069 -0.17278749  0.13945167  0.91804314],[-0.11724453 -0.17208736  0.13905666  0.91804314],[-0.00043093  0.00246297 -0.00013725  0.        ],1728752638.784596,[ 19.94273028 -16.75785955  27.25268508 -32.63108362]
[-0.12682512 -0.15968588  0.01518326  0.89088166],[-0.11746069 -0.17278749  0.13945167  0.91629785],[-0.11726613 -0.17196469  0.13904916  0.91804314],[-0.00043203  0.00245336 -0.00015006  0.        ],1728752638.785331,[ 19.98390543 -16.13867708  27.25029843 -37.05027913]
[-0.12687288 -0.16006675  0.01526719  0.88800406],[-0.11746069 -0.17278749  0.13945167  0.91455257],[-0.11728762 -0.17184233  0.13904162  0.91804314],[-0.00042985  0.00244717 -0.0001507   0.        ],1728752638.7860353,[ 20.04351243 -15.47163098  27.22945402 -41.03285419]
