target,real_target,js,jv,time,action
[-0.25577801 -0.02434722  0.02600527  0.5794493 ],[-0.25577801 -0.02434722  0.02600527  0.5794493 ],[-0.25569072 -0.0244345   0.02600527  0.5794493 ],[0. 0. 0. 0.],1726151425.5846474,[ -4.88370935   3.4826969   -1.56039545 -11.11746598]
[-0.25586531 -0.02425993  0.02600527  0.5794493 ],[-0.25586531 -0.02425993  0.02600527  0.5794493 ],[-0.2555141  -0.02451173  0.0260714   0.5794493 ],[ 0.00353243 -0.00154453  0.00132262  0.        ],1726151425.5846474,[ 0.83789103 -0.355957    0.01521542  0.        ]
[-0.25586531 -0.02425993  0.02600527  0.5794493 ],[-0.25586531 -0.02425993  0.02600527  0.5794493 ],[-0.25555161 -0.02439278  0.02601766  0.5794493 ],[-0.00075018  0.00237899 -0.00107484  0.        ],1726151425.5846474,[ 0.64085753 -0.15830635  0.0021839   0.        ]
[-0.25586531 -0.02425993  0.02600527  0.5794493 ],[-0.25586531 -0.02425993  0.02600527  0.5794493 ],[-0.25558913 -0.02427383  0.02596392  0.5794493 ],[-0.00075038  0.00237893 -0.00107483  0.        ],1726151425.5846474,[ 0.56243858 -0.00129722 -0.00963923  0.        ]
[-0.25586531 -0.02425993  0.02600527  0.5794493 ],[-0.25586531 -0.02425993  0.02600527  0.5794493 ],[-0.25562665 -0.02415489  0.02603008  0.5794493 ],[-0.00075048  0.00237889  0.00132325  0.        ],1726151425.5846474,[0.48401199 0.15570888 0.00612511 0.        ]
[-0.25586531 -0.02425993  0.02600527  0.5794493 ],[-0.25586531 -0.02425993  0.02600527  0.5794493 ],[-0.25566418 -0.02423208  0.02597634  0.5794493 ],[-0.00075057 -0.00154375 -0.00107483  0.        ],1726151425.5846474,[ 0.40557579  0.0257041  -0.00690667  0.        ]
[-0.25577801 -0.02426     0.02600527  0.57857662],[-0.25577801 -0.02426     0.02600527  0.57857662],[-0.25570172 -0.02430926  0.0260425   0.5794493 ],[-0.00075066 -0.00154372  0.00132325  0.        ],1726151425.5856447,[ 0.11033414 -0.07608286  0.00885769 -1.57080889]
[-0.25569072 -0.02426007  0.02600527  0.57770395],[-0.25569072 -0.02426007  0.02600527  0.57770395],[-0.25573926 -0.02419032  0.02598876  0.5794493 ],[-0.00075092  0.00237891 -0.00107483  0.        ],1726151425.5856447,[-0.1505805   0.10913089 -0.0041741  -2.7227354 ]
[-0.25569072 -0.02426007  0.02600527  0.57770395],[-0.25569072 -0.02426007  0.02600527  0.57770395],[-0.25555904 -0.0242675   0.02605492  0.5794493 ],[ 0.00360436 -0.00154374  0.00132325  0.        ],1726151425.5856447,[ 0.3461449  -0.02088276  0.01159027 -2.30385303]
[-0.25569072 -0.02426007  0.02600527  0.57770395],[-0.25569072 -0.02426007  0.02600527  0.57770395],[-0.25559658 -0.02414856  0.02600118  0.5794493 ],[-0.00075064  0.00237889 -0.00107483  0.        ],1726151425.5856447,[ 1.81997096e-01  1.64241405e-01 -1.44154108e-03 -2.30385303e+00]
[-0.25577801 -0.02426     0.02609249  0.57595864],[-0.25577801 -0.02426     0.02609249  0.57595864],[-0.25563412 -0.02422575  0.02606734  0.5794493 ],[-0.00075079 -0.00154375  0.00132325  0.        ],1726151425.5856447,[ 0.32033204  0.0341383  -0.00574435 -5.44541717]
[-0.25586531 -0.02425993  0.0261797   0.57421333],[-0.25586531 -0.02425993  0.0261797   0.57421333],[-0.25567165 -0.02430293  0.0261335   0.5794493 ],[-0.00075071 -0.00154372  0.00132325  0.        ],1726151425.5856447,[ 0.42432285 -0.06783544 -0.01037664 -7.74923086]
[-0.25586531 -0.02425993  0.02609249  0.56897733],[-0.25586531 -0.02425993  0.02609249  0.56897733],[-0.25570918 -0.02418399  0.02619967  0.5794493 ],[-0.00075065  0.0023789   0.00132325  0.        ],1726151425.5856447,[  0.31152345   0.11729925   0.02512548 -16.33628011]
[-0.25586531 -0.02425993  0.02600527  0.56374133],[-0.25586531 -0.02425993  0.02600527  0.56374133],[-0.25574672 -0.02426117  0.02614592  0.5794493 ],[-0.00075077 -0.00154374 -0.00107485  0.        ],1726151425.5856447,[ 2.33065941e-01 -1.27049372e-02  3.12815090e-02 -2.32477999e+01]
[-0.25595252 -0.02434728  0.02583083  0.55763268],[-0.25595252 -0.02434728  0.02583083  0.55763268],[-0.25578426 -0.02414223  0.02609218  0.5794493 ],[-0.00075086  0.00237889 -0.00107484  0.        ],1726151425.586642,[  0.37121063   0.30024582   0.05871368 -31.73007488]
[-0.25603974 -0.02443464  0.02565639  0.55152404],[-0.25603974 -0.02443464  0.02565639  0.55152404],[-0.2558218  -0.02421942  0.02603844  0.5794493 ],[-0.00075077 -0.00154377 -0.00107483  0.        ],1726151425.586642,[  0.4750393    0.28554321   0.0852668  -39.79348183]
[-0.25621431 -0.02443464  0.02565639  0.54192474],[-0.25621431 -0.02443464  0.02565639  0.54192474],[-0.25585934 -0.02429661  0.0259847   0.5794493 ],[-0.00075071 -0.00154376 -0.00107482  0.        ],1726151425.586642,[  0.79581774   0.17113245   0.07168542 -54.14007068]
[-0.25638887 -0.02443464  0.02565639  0.53232545],[-0.25638887 -0.02443464  0.02565639  0.53232545],[-0.25589686 -0.02437379  0.02593096  0.5794493 ],[-0.00075046 -0.00154373 -0.00107482  0.        ],1726151425.586642,[ 1.08224520e+00  6.92464487e-02  5.98624198e-02 -6.68111444e+01]
