target,real_target,js,jv,time,action
[-0.0675648  -0.04367528  0.13589469  1.2170547 ],[-0.10725046 -0.0121301   0.17462017  1.26536369],[-0.10821047 -0.01588256  0.1748821   1.27579265],[ 1.69609123e-03  1.59477966e-04  7.93926292e-05 -1.08820120e-04],0.005268573760986328,[-1000.           487.16808727   795.59981617  -948.71197401]
[-0.06808961 -0.04156594  0.13664585  1.2170328 ],[-0.10733775 -0.01204281  0.1747074   1.26536369],[-0.10821047 -0.01588256  0.1748821   1.27579265],[1.00682415e-03 1.22070922e-04 2.60153404e-05 4.72581739e-04],0.05854392051696777,[-592.72895013  412.99357143  435.01822523 -429.53366565]
[-0.07080387 -0.04176207  0.13671723  1.2130762 ],[-0.10742503 -0.01195553  0.17462017  1.26536369],[-0.10821047 -0.01588256  0.17505653  1.27579265],[-4.89913852e-04  9.43326801e-04 -2.63818745e-05 -2.10038912e-03],0.10965323448181152,[-546.30272429  427.05946281  438.78085041 -459.05395288]
[-0.07286221 -0.04288866  0.13601905  1.2065268 ],[-0.10751232 -0.01186824  0.17453295  1.26536369],[-0.10821047 -0.01570786  0.17470739  1.27540915],[ 0.00042946  0.00185092 -0.00299823 -0.00970704],0.15639567375183105,[-545.85395031  435.00934367  440.18361396 -477.60311396]
[-0.07587767 -0.04290588  0.13705494  1.1979717 ],[-0.10751232 -0.01186824  0.17462017  1.26536369],[-0.10821047 -0.01553342  0.17331137  1.27445041],[ 0.00209298  0.00141037 -0.02506022 -0.01818857],0.20494556427001953,[-516.41389812  428.52550611  425.83810139 -491.41365167]
[-0.07755501 -0.04177119  0.13665113  1.1845038 ],[-0.10751232 -0.01186824  0.1747074   1.26536369],[-0.10821047 -0.01553342  0.17086765  1.27349168],[-0.00208469 -0.00044189 -0.03880234 -0.01663474],0.2562601566314697,[-528.10726263  419.41146674  425.47752961 -532.05803148]
[-0.07848579 -0.04097418  0.13693568  1.1697638 ],[-0.10751232 -0.01186824  0.1747074   1.26536369],[-0.10821047 -0.01553342  0.16964606  1.27291643],[-0.00243476 -0.00096685 -0.03002467 -0.01140538],0.3065931797027588,[-534.65615775  420.64599355  426.25809873 -550.72955364]
[-0.08006181 -0.04043314  0.13750061  1.1563579 ],[-0.10751232 -0.01186824  0.1747074   1.26536369],[-0.10821047 -0.01570786  0.16929692  1.27195769],[ 0.00216642  0.00085958 -0.01177173 -0.02286902],0.35491108894348145,[-517.0934774   420.42091843  427.8803691  -544.93030664]
[-0.08074672 -0.04004002  0.1400386   1.1419339 ],[-0.10751232 -0.01186824  0.1747074   1.26361841],[-0.10821047 -0.01588256  0.16894804  1.27042371],[ 0.00457498 -0.00165052 -0.00948466 -0.04257867],0.40505027770996094,[-527.0409914   420.74146267  416.54212719 -554.47476809]
[-0.08152074 -0.03926545  0.14179952  1.12883   ],[-0.10751232 -0.01186824  0.1747074   1.26187313],[-0.10821047 -0.01623143  0.1684242   1.26697226],[ 0.00275046 -0.00714796 -0.0101126  -0.06455891],0.4549844264984131,[-521.83371836  416.27534499  416.8367604  -536.63856539]
[-0.08273678 -0.03790183  0.14389263  1.113503  ],[-0.1075996  -0.01186818  0.1747074   1.25925511],[-0.10821047 -0.01745329  0.16772618  1.26227444],[-0.00608898 -0.01864608 -0.01050519 -0.07646972],0.5051224231719971,[-509.12061906  404.89430266  411.87642771 -548.78978306]
[-0.08390416 -0.03559667  0.14484656  1.099091  ],[-0.10768689 -0.01186811  0.1747074   1.2566371 ],[-0.10821047 -0.01919846  0.1670279   1.25815187],[-0.00850897 -0.02857247 -0.01347304 -0.08357282],0.5610194206237793,[-504.01379107  392.03144326  415.10319462 -551.55597628]
[-0.08533993 -0.03649801  0.1480196   1.0806088 ],[-0.10777411 -0.01195546  0.17444561  1.25227374],[-0.1083849  -0.0211186   0.16632989  1.25450866],[-0.00576891 -0.03268363 -0.01352669 -0.09543971],0.605299711227417,[-496.29720205  409.25030347  401.72671544 -590.82306927]
[-0.08585473 -0.03646043  0.15037164  1.0642537 ],[-0.10786133 -0.01204281  0.17418382  1.24791038],[-0.10855947 -0.02303834  0.16615545  1.24866036],[ 0.00297369 -0.03421454 -0.00756972 -0.12201869],0.6567866802215576,[-508.41820217  401.64685614  404.96037814 -565.75131573]
[-0.08598514 -0.03583576  0.15237114  1.0473553 ],[-0.10794861 -0.01204275  0.17418382  1.24092907],[-0.10873404 -0.02460921  0.16580631  1.24166157],[ 0.00166389 -0.03110075 -0.0054818  -0.14530408],0.7052242755889893,[-514.4072597   398.01819782  403.37360247 -566.45035684]
[-0.08455707 -0.03573783  0.15470187  1.0285621 ],[-0.1080359  -0.01204268  0.17418382  1.23394775],[-0.10873404 -0.02617994  0.16563187  1.23360817],[-0.0038842  -0.02444711 -0.00623047 -0.16107574],0.7644226551055908,[-542.31441062  399.51921438  400.19780107 -577.70172275]
[-0.08414539 -0.03816469  0.157019    1.0024008 ],[-0.1082104  -0.01204275  0.17427117  1.22347581],[-0.10890848 -0.02687822  0.16528273  1.22478779],[-0.01104651 -0.01618311 -0.00577643 -0.17550917],0.8112146854400635,[-532.61082537  421.68561341  396.84144665 -632.58016483]
[-0.08436126 -0.04047037  0.15760694  0.97981554],[-0.10838491 -0.01204281  0.17435852  1.21300387],[-0.10908305 -0.0275761   0.16545717  1.21548803],[-0.00703326 -0.00921426 -0.00480302 -0.19063295],0.8605873584747314,[-522.98932178  422.56678182  406.07880422 -610.83438155]
[-0.0841425  -0.04144371  0.1600559   0.948294  ],[-0.10864669 -0.01213003  0.17418382  1.19904125],[-0.10925762 -0.02792537  0.16528273  1.2053254 ],[-0.00102445 -0.00413718 -0.00395186 -0.20569431],0.9086003303527832,[-531.47777576  417.27270232  393.98815982 -678.0279641 ]
[-0.08229589 -0.04213001  0.16339771  0.9206389 ],[-0.10890848 -0.01221725  0.17400911  1.18507862],[-0.10925762 -0.02827425  0.16510803  1.19439579],[-0.00182355 -0.0007631  -0.00251807 -0.23232162],0.9579541683197021,[-562.51899927  415.88572728  386.64560063 -653.95681778]
[-0.08009145 -0.04109504  0.16475262  0.8793732 ],[-0.10934484 -0.01221725  0.1739219   1.16587996],[-0.10943219 -0.02879796  0.1651083   1.1815487 ],[-0.0071239  -0.00125709 -0.00189924 -0.26786445],1.0089874267578125,[-582.40302714  402.92006639  394.55240259 -750.01798   ]
[-0.07807405 -0.03878813  0.16588394  0.83524144],[-0.1097812  -0.01221725  0.17383468  1.14668131],[-0.10960663 -0.02949624  0.16493386  1.16678414],[-0.01051317 -0.00565802 -0.00450775 -0.2949375 ],1.0599827766418457,[-590.55367117  391.21266388 -406.54400711 -771.34192205]
[-0.07684934 -0.03836667  0.16677421  0.78826094],[-0.11013027 -0.01230454  0.17383468  1.12137401],[-0.1097812  -0.03019412  0.16458445  1.15403292],[-0.01263526 -0.00831476 -0.00801451 -0.3183116 ],1.109384536743164,[-585.65691904  401.4385933  -407.50045996 -822.4911649 ]
[-0.0771824  -0.03857266  0.16637321  0.74785626],[-0.11047935 -0.01239182  0.17383468  1.09606671],[-0.11030478 -0.03106684  0.16423531  1.13025622],[-0.01622078 -0.00578376 -0.0082176  -0.35076382],1.1578590869903564,[-568.47080093  403.49476893 -401.91576503 -707.59551291]
[-0.07987093 -0.03699543  0.16565049  0.71197295],[-0.11082842 -0.01247911  0.17392203  1.07250476],[-0.11065392 -0.03176485  0.16423531  1.11510816],[-0.01116486 -0.00370443 -0.00454765 -0.38107815],1.2097628116607666,[-518.80990252  391.5427187  -398.31904066 -746.71435641]
[-0.08308984 -0.0358291   0.16562034  0.67881566],[-0.1111775  -0.01256639  0.17400938  1.0489428 ],[-0.11082835 -0.03263784  0.16423558  1.0941118 ],[-0.0028103  -0.00324522 -0.00340782 -0.42094573],1.2560944557189941,[-493.00725725  390.92272143 -401.25445205 -692.77441546]
