target,real_target,js,jv,time,action
[-0.09686501 -0.14607187  0.13481718  0.9185789 ],[-0.11405724 -0.13761932  0.16406114  0.95469511],[-0.1164134  -0.1328197   0.16737704  0.95988848],[ 5.35994654e-04  1.31109171e-02 -8.98015839e-05 -6.72180754e-04],0.007316112518310547,[-840.10890001  476.43641932  549.24323079 -645.19941548]
[-0.09747741 -0.14393348  0.13410416  0.9156701 ],[-0.11414452 -0.13753203  0.16406114  0.95469511],[-0.11623897 -0.13281943  0.16737704  0.95988848],[ 3.44657710e-03  3.35756214e-03  7.36181989e-05 -4.06354170e-04],0.056508779525756836,[-482.00063003  398.25107669  436.32746284 -442.47112687]
[-0.0978943  -0.14202887  0.13389109  0.9075508 ],[-0.11414452 -0.13753203  0.16406114  0.95469511],[-0.1160644  -0.13316871  0.16737704  0.95988848],[ 2.69041623e-03 -6.03331681e-03  1.85380979e-05  2.48806052e-04],0.10425853729248047,[-481.9749482   395.30074226  434.3987372  -483.00354278]
[-0.09841157 -0.14112356  0.13397191  0.90262306],[-0.11414452 -0.13753203  0.16406114  0.95469511],[-0.1160644  -0.13386672  0.16737704  0.95950498],[ 0.00087937 -0.01150971  0.00022579 -0.00983233],0.1561746597290039,[-480.50199412  397.6112844   433.05890889 -460.25106648]
[-0.09897119 -0.14124306  0.13430953  0.8956455 ],[-0.11423181 -0.13753196  0.16414836  0.95469511],[-0.11623897 -0.13439043  0.16720261  0.95873799],[-9.30235277e-04 -1.38568318e-02  2.88151949e-05 -1.76618368e-02],0.2053372859954834,[-480.56089444  404.42091568  430.69942339 -475.0200746 ]
[-0.09967226 -0.14111865  0.1353919   0.88240695],[-0.11431909 -0.13753189  0.16423558  0.95469511],[-0.1164134  -0.13543759  0.16720261  0.95768338],[-0.00438688 -0.01602806 -0.0037493  -0.01796486],0.2560741901397705,[-475.80300584  398.63296358  427.17381664 -522.92578992]
[-0.09980167 -0.14084728  0.13716902  0.8647761 ],[-0.11423181 -0.13753196  0.16423558  0.95469511],[-0.11658797 -0.13631017  0.16632989  0.95682052],[-0.00382784 -0.01664282 -0.01104637 -0.01432537],0.30506086349487305,[-484.6093283   397.65502977  417.80904153 -563.39827391]
[-0.10005033 -0.14056249  0.1390007   0.8510935 ],[-0.11414452 -0.13753203  0.16423558  0.95469511],[-0.11658797 -0.13700845  0.16580631  0.95595765],[ 0.00236961 -0.01284361 -0.01260424 -0.02114073],0.3547520637512207,[-478.95662488  397.63989061  416.71568819 -542.17030362]
[-0.09981856 -0.13916779  0.14033973  0.83871156],[-0.11423181 -0.13753196  0.16432279  0.95294976],[-0.1164134  -0.13735746  0.16528273  0.95471129],[ 0.00541825 -0.010454   -0.01222779 -0.03402516],0.4082155227661133,[-483.83247181  391.32016255  416.96355769 -535.94858606]
[-0.09948489 -0.13807522  0.14168186  0.8346135 ],[-0.11431909 -0.13753189  0.16441001  0.95120442],[-0.11623897 -0.13788104  0.16475916  0.95135571],[ 0.00278734 -0.00784466 -0.01151219 -0.06140911],0.4571685791015625,[-486.1599094   390.4714038   415.08462093 -463.56841976]
[-0.09943806 -0.1371236   0.14280307  0.82343537],[-0.11440638 -0.13761918  0.16423544  0.94684112],[-0.11623897 -0.13805547  0.16423558  0.948096  ],[-0.00327114 -0.00665689 -0.01037051 -0.07882185],0.5051484107971191,[-484.70719689 -407.70619344  414.38624432 -517.7595852 ]
[-0.09965252 -0.1359209   0.14408328  0.80820096],[-0.11449366 -0.13770647  0.16406088  0.94247782],[-0.1164134  -0.13857932  0.16388644  0.94368581],[-0.01030074 -0.00738241 -0.01095886 -0.08412519],0.5562491416931152,[-483.20385137 -413.04531472  412.82304664 -543.51179115]
[-0.09953613 -0.1355198   0.1455855   0.7880393 ],[-0.11458088 -0.13770647  0.16388631  0.93811449],[-0.11658797 -0.13892833  0.16318842  0.93946736],[-0.01100771 -0.00613637 -0.01233792 -0.07642436],0.6065628528594971,[-489.62545428 -407.92111496  408.17700714 -587.31615339]
[-0.09864615 -0.13519861  0.14616108  0.770549  ],[-0.1146681  -0.13770647  0.16371174  0.93375117],[-0.11693711 -0.13892806  0.16283902  0.93582415],[-0.00531831 -0.00066263 -0.00997807 -0.07504583],0.6554751396179199,[-510.04903692 -405.6601587   412.71536257 -579.56762113]
[-0.09806629 -0.13410506  0.14669853  0.75788635],[-0.11475538 -0.13770654  0.16406088  0.92502451],[-0.11693711 -0.13875362  0.16266458  0.93189333],[ 0.00773061  0.00600043 -0.00577507 -0.09152928],0.7055206298828125,[-503.05556268 -410.17798854  412.91633012 -548.12600733]
[-0.09698966 -0.13278572  0.14648809  0.7544    ],[-0.11484267 -0.13770661  0.16441001  0.91629785],[-0.11693711 -0.13840448  0.16249014  0.92575741],[ 0.01217386  0.0066093  -0.00568228 -0.12676957],0.7555153369903564,[-515.89304774 -411.45546254  416.1563106  -467.13178482]
[-0.09668192 -0.13209574  0.14506742  0.75547457],[-0.11510446 -0.13761925  0.16432266  0.9075712 ],[-0.11676254 -0.13823018  0.16214127  0.91741638],[ 0.00019459  0.0049424  -0.00571113 -0.16695676],0.8062098026275635,[-502.4016233  -409.23673908  421.66539045 -415.06178305]
[-0.09742998 -0.13235453  0.14470623  0.7436684 ],[-0.11536625 -0.13753189  0.16423531  0.89884454],[-0.11658797 -0.13823004  0.16179186  0.90591153],[-0.01370108  0.00361063 -0.00610084 -0.17261547],0.8588142395019531,[-481.94478524 -404.31785455  417.13610748 -483.23091378]
[-0.09833445 -0.13320744  0.14430414  0.7101554 ],[-0.11554075 -0.13761918  0.16432266  0.89011791],[-0.11676254 -0.13857905  0.16144299  0.89891274],[-0.0202507   0.0007714  -0.0104239  -0.13360025],0.9059176445007324,[-481.18767829 -402.34016042  417.36683721 -679.97795498]
[-0.09753479 -0.13343607  0.14268415  0.68954355],[-0.11571526 -0.13770647  0.16441001  0.88139129],[-0.11728612 -0.13857905  0.16109385  0.89316031],[-0.02247385  0.00332109 -0.00703834 -0.12314057],0.9616720676422119,[-518.61314309 -403.76753852  423.85400732 -605.82455383]
[-0.09761652 -0.13151924  0.14309198  0.68078357],[-0.11597711 -0.13761918  0.16432279  0.87091929],[-0.11763513 -0.13840475  0.16126855  0.88683264],[ 0.00052041  0.00678765 -0.00208229 -0.14451213],1.0097458362579346,[-504.10378486 -417.36854425  417.17783261 -520.05059052]
[-0.09788048 -0.12992126  0.14446816  0.6775494 ],[-0.11623897 -0.13753189  0.16423558  0.86044729],[-0.11763513 -0.13823004  0.16109385  0.87954623],[ 0.02579163  0.00677454 -0.00451713 -0.18091767],1.054999589920044,[-494.81215528 -416.87122245  409.98170097 -472.63237465]
[-0.09750963 -0.13116236  0.1454635   0.66791874],[-0.11641347 -0.13761918  0.16423558  0.84997532],[-0.11728612 -0.13788104  0.16074497  0.86957536],[ 0.0216075   0.00912946 -0.00765263 -0.19544105],1.1082172393798828,[-499.21031466 -397.15253289  409.52290854 -498.44713191]
[-0.09748583 -0.13338041  0.14495048  0.645641  ],[-0.11658797 -0.13770647  0.16423558  0.83950335],[-0.11711155 -0.13753203  0.16109385  0.85960448],[-0.00888084  0.01219724 -0.00091378 -0.18014657],1.1555745601654053,[-495.86627712 -388.70824802  419.83571844 -593.12963073]
[-0.0984356  -0.13486154  0.14365543  0.61628133],[-0.11684976 -0.13770647  0.16423544  0.82903141],[-0.11728612 -0.13718276  0.16109385  0.85155108],[-3.41199138e-02  1.03617996e-02  9.31534218e-06 -1.53255600e-01],1.2063820362091064,[-482.61986542 -391.30942704  422.98636026 -666.77889607]
[-0.0991748  -0.13378529  0.1429348   0.5894092 ],[-0.11711155 -0.13770647  0.16423531  0.81855947],[-0.11763513 -0.13700845  0.16091941  0.84503167],[-0.03371572  0.00789669 -0.00317093 -0.13535595],1.2573158740997314,[-486.44646112 -408.64932563  420.32454768 -670.2804534 ]
[-0.09988687 -0.1310086   0.14315537  0.5741626 ],[-0.11737334 -0.13770647  0.16423531  0.80634212],[-0.11798427 -0.13683375  0.16091941  0.83851225],[-0.00476651  0.00942196 -0.00262571 -0.14686951],1.3061928749084473,[-485.04080968 -421.47875141  416.81914766 -593.26472986]
[-0.10030186 -0.1301566   0.143867    0.5760713 ],[-0.11763513 -0.13770647  0.16423531  0.79412478],[-0.11815884 -0.13665918  0.16091941  0.82978773],[ 0.01550232  0.00970404 -0.00407995 -0.19407507],1.3544831275939941,[-485.67700291 -410.57788959  414.00375401 -452.42579067]
[-0.10305873 -0.13132043  0.1455688   0.5864897 ],[-0.1179842  -0.13761918  0.16414809  0.78365281],[-0.11815884 -0.13631004  0.16074471  0.81684477],[ 0.03000389  0.00979638 -0.00473878 -0.24736352],1.4047229290008545,[-434.13110008 -395.8876763   407.13699075 -351.64805441]
[-0.10148481 -0.13337265  0.14487872  0.56241655],[-0.11833327 -0.13753189  0.16406088  0.77318084],[-0.11798427 -0.13578659  0.16057027  0.80112147],[-0.0046267   0.01297848 -0.00675698 -0.22953782],1.4560081958770752,[-503.49581462 -386.91869821  417.90054911 -577.80140547]
