target,real_target,js,jv,time,action
[-0.22200023 -0.0050882  -0.0097668   0.57816005],[-0.25577801 -0.02434722  0.02600527  0.5794493 ],[-0.27698377 -0.02635438  0.03525549  0.57600979],[-5.76142699e-04 -1.31182629e-04  1.54228484e-04  1.66789860e-05],0.006530046463012695,[-1000.          -516.20322356   573.12334846   674.2294651 ]
[-0.2254542  -0.00617705 -0.00994835  0.5760148 ],[-0.25586531 -0.02425993  0.02600527  0.5794493 ],[-0.27698377 -0.02635438  0.03525549  0.57600979],[-3.74214205e-04 -9.74960489e-05  6.48353285e-05  4.24232719e-04],0.05595970153808594,[-605.81753077 -413.62681422  445.98161232  384.98609194]
[-0.22741576 -0.00648524 -0.01097265  0.5720981 ],[-0.25586531 -0.02425993  0.02600527  0.5794493 ],[-0.27698377 -0.02635438  0.03525549  0.57600979],[ 2.99998514e-04 -9.47793618e-05  4.91705114e-05  2.53059373e-04],0.11331892013549805,[-618.40491235 -418.01507043  450.6162164  -429.37306543]
[-0.22865295 -0.00749277 -0.01303682  0.56134343],[-0.25586531 -0.02425993  0.02600527  0.5794493 ],[-0.2768092  -0.02652895  0.03543019  0.57610566],[ 6.50274368e-04 -2.10600386e-05  3.94669941e-04  5.00849315e-03],0.15763425827026367,[-619.59621407 -414.02509912  458.05837141 -483.33474038]
[-0.22923516 -0.00844063 -0.01643829  0.5515323 ],[-0.25586531 -0.02425993  0.02600527  0.5794493 ],[-0.27663463 -0.02635464  0.03543019  0.57648915],[0.00483522 0.00249275 0.00081908 0.0049415 ],0.21126532554626465,[-625.64130518 -411.16303043  466.44038695 -483.84066248]
[-0.22947444 -0.00905226 -0.02066834  0.5401123 ],[-0.25586531 -0.02425993  0.02600527  0.5794493 ],[-0.27576205 -0.02635451  0.03577933  0.5766809 ],[0.01702043 0.00681294 0.00108806 0.00179689],0.25905728340148926,[-614.75312936 -413.62188432  476.06493195 -499.56648164]
[-0.22974385 -0.00925272 -0.02315473  0.5237453 ],[-0.25577801 -0.02426     0.02600527  0.57857662],[-0.27401675 -0.02600524  0.03595377  0.57658503],[0.03559497 0.00890833 0.00194961 0.00132352],0.319291353225708,[-591.13193117 -413.44533564  470.50748059 -540.31787156]
[-0.23061027 -0.00947986 -0.02327232  0.5031127 ],[-0.25569072 -0.02426007  0.02600527  0.57770395],[-0.27122416 -0.02548192  0.03630291  0.57677678],[0.05067173 0.01262355 0.00325311 0.00528738],0.35724544525146484,[-548.16215512 -411.48731617  461.57472138 -582.60260358]
[-0.23234361 -0.01049286 -0.02208618  0.47969273],[-0.25569072 -0.02426007  0.02600527  0.57770395],[-0.26790799 -0.02443477  0.03665205  0.57735202],[0.06182311 0.01919284 0.00491644 0.00878834],0.40960693359375,[-502.0490805  -401.54803824  455.152535   -616.79602126]
[-0.2348255  -0.01239951 -0.02173312  0.45423427],[-0.25569072 -0.02426007  0.02600527  0.57770395],[-0.26441738 -0.02321291  0.03700093  0.57783139],[0.06714685 0.02299021 0.00743606 0.00828319],0.4562113285064697,[-458.33605231 -391.99232304  458.71611908 -643.36356601]
[-0.23616031 -0.01282453 -0.02305607  0.4327343 ],[-0.25577801 -0.02426     0.02609249  0.57595864],[-0.26145035 -0.02199105  0.03735007  0.57754377],[ 0.06071833  0.02242051  0.00589497 -0.00783565],0.506199836730957,[-461.89663216 -399.25890821  467.56932579 -620.89082861]
[-0.2367507  -0.01331928 -0.02267582  0.42073822],[-0.25586531 -0.02425993  0.0261797   0.57421333],[-0.25918134 -0.0209439   0.03682622  0.57610566],[ 0.0424641   0.01945425 -0.00576593 -0.03906446],0.5548253059387207,[-469.24501396 -398.34849338  455.6289272  -551.58978841]
[-0.23712884 -0.01327349 -0.02149894  0.41689944],[-0.25586531 -0.02425993  0.02609249  0.56897733],[-0.25778518 -0.01972217  0.03525576  0.57159959],[ 0.02150709  0.01517172 -0.01467385 -0.08525182],0.6167891025543213,[-476.65666987 -399.37428564  444.98508192 -472.67905008]
[-0.23873565 -0.01349154 -0.02191466  0.3922894 ],[-0.25586531 -0.02425993  0.02600527  0.56374133],[-0.25743604 -0.0191986   0.03420834  0.56671003],[ 0.01136378  0.00956296 -0.01995499 -0.09216238],0.6543493270874023,[-464.15097837 -401.24540429  453.41675474 -625.25347775]
[-0.23987156 -0.01521534 -0.02117689  0.36411774],[-0.25595252 -0.02434728  0.02583083  0.55763268],[-0.25778518 -0.01884945  0.03316118  0.56182046],[-0.00393845  0.00779203 -0.02135086 -0.09956854],0.7115790843963623,[-477.76167488 -391.16329454  446.69144657 -661.82612803]
[-0.24009967 -0.01683561 -0.02030958  0.33665717],[-0.25603974 -0.02443464  0.02565639  0.55152404],[-0.25830876 -0.01884945  0.03211403  0.55664328],[-0.00605326  0.0067723  -0.01977117 -0.1119211 ],0.7550709247589111,[-495.47922699 -392.26628377  444.22207536 -665.97667998]
