target,real_target,js,jv,time,action
[-0.2073535  -0.23214928  0.39795791  1.18181116],[-0.20525073 -0.23151791  0.3971498   1.18333328],[-0.21380281 -0.23212884  0.41032698  1.18241157],[ 0.00029495  0.00062373 -0.00030921  0.00019906],0.0008563995361328125,[ -356.37181381   441.4562405     87.68468634 -1000.        ]
[-0.21222193 -0.23137629  0.40506245  1.19133328],[-0.20525073 -0.23143056  0.39706245  1.18333328],[-0.21380281 -0.23212884  0.41032698  1.18241157],[-0.00047013  0.00049358 -0.00018376  0.00029237],0.05346179008483887,[-334.84869341 -405.40285919  374.82868055  471.11568059]
[-0.20084646 -0.22658508  0.38897509  1.18656522],[-0.20525073 -0.23143056  0.39697509  1.18333328],[-0.21380281 -0.23212884  0.41015227  1.18241157],[-9.67808410e-05  4.27161579e-04 -1.65512585e-04 -9.62032646e-05],0.10188651084899902,[-635.48199669 -434.36764376  489.34703249  368.70038993]
[-0.21325073 -0.23943056  0.40460316  1.19133328],[-0.20525073 -0.23143056  0.39688772  1.18333328],[-0.21397738 -0.23195427  0.41015227  1.18231569],[-7.46655881e-04  4.77700506e-04 -2.74621376e-04 -1.68910553e-05],0.15149974822998047,[-220.11447943  485.80489672  338.59844461  438.55634415]
[-0.20500739 -0.22334334  0.3888005   1.18099433],[-0.20525073 -0.23134334  0.3968005   1.18333328],[-0.21380281 -0.23212884  0.41032698  1.18231569],[-0.00148399  0.00050856 -0.00032467 -0.00753084],0.20113778114318848,[-565.0569443  -506.61640875  489.973481   -473.0332822 ]
[-0.20218155 -0.2343244   0.39706148  1.18386525],[-0.20525073 -0.23125613  0.39671329  1.18333328],[-0.21380281 -0.23212884  0.41032698  1.18116521],[ 0.00067464  0.00041563 -0.00037598 -0.03471748],0.2518432140350342,[-500.51089642  468.25759013  377.87547504  429.49985554]
[-0.19725073 -0.23567229  0.38952198  1.19133328],[-0.20525073 -0.23125613  0.39671329  1.18333328],[-0.21380281 -0.23212884  0.41015227  1.177522  ],[ 0.00059124  0.00017009 -0.00091617 -0.07654944],0.30202770233154297,[-556.75233704  411.65235147  452.18110133  484.68423851]
[-0.20674029 -0.23208229  0.39161247  1.17533328],[-0.20525073 -0.23125613  0.39671329  1.18333328],[-0.21380281 -0.23212884  0.4098034   1.1738788 ],[-0.00350351 -0.00022921 -0.00437484 -0.04593245],0.35213422775268555,[-292.91209288 -421.64397009  407.74066436  314.22967049]
[-0.20466233 -0.22325613  0.39761322  1.18614177],[-0.20525073 -0.23125613  0.39688787  1.18246055],[-0.21380281 -0.23230341  0.40945439  1.17263244],[-2.23813677e-02  4.34298116e-05 -7.51444386e-03 -2.74776681e-02],0.40152502059936523,[-476.88431005 -463.19571513  384.63882554  491.13860251]
[-0.21017462 -0.23925613  0.39988839  1.17768891],[-0.20525073 -0.23125613  0.39706245  1.18158782],[-0.21397738 -0.23212884  0.40927969  1.1716737 ],[-0.00594719  0.0029463  -0.00192092 -0.02989065],0.45177149772644043,[-338.91589132  504.43349796  398.89603453  350.54876101]
[-0.21178514 -0.23530596  0.40506245  1.1726948 ],[-0.20533802 -0.23090705  0.39706245  1.17896986],[-0.21397738 -0.23195427  0.4096287   1.16937273],[ 0.02698669  0.0049718   0.00366211 -0.05807948],0.5012462139129639,[-386.79368669  380.63768553  383.8957177   382.80908041]
[-0.21342531 -0.22255798  0.39213247  1.1843519 ],[-0.20542531 -0.23055798  0.39706245  1.1763519 ],[-0.21397738 -0.23195427  0.40997784  1.16534603],[ 0.04014717  0.00358208  0.00296077 -0.0692785 ],0.551710844039917,[-378.14806716 -486.08814696  474.73314504  519.28956425]
[-0.19751252 -0.22194718  0.39056776  1.16311593],[-0.20551252 -0.22994718  0.39671344  1.17111593],[-0.21380281 -0.23195427  0.4099777   1.16189457],[-0.00085154  0.00316665  0.00134823 -0.05608459],0.6011385917663574,[-717.61904412 -413.68165837  426.11257537  276.11908818]
[-0.20503436 -0.22860781  0.40436442  1.16387567],[-0.20559974 -0.22933638  0.39636442  1.16587996],[-0.21397738 -0.23195427  0.40997784  1.16007297],[-0.04066517  0.00222637  0.00035985 -0.03556508],0.6512105464935303,[-334.46207985 -363.27613416  346.50908733  419.97070795]
[-0.21377431 -0.22246291  0.38925232  1.16413764],[-0.20577431 -0.22820187  0.39645164  1.15977126],[-0.21415195 -0.23212871  0.41015241  1.15901836],[-0.03712079  0.00113177 -0.00068918 -0.01940971],0.7012536525726318,[-273.35609853 -447.68289746  486.3881962   411.77570199]
[-0.20463701 -0.2241223   0.38853885  1.15706458],[-0.20594887 -0.22706737  0.39653885  1.15366256],[-0.21415195 -0.23212871  0.41015241  1.15863486],[ 0.00288817  0.00195738 -0.00053915 -0.00961291],0.7520675659179688,[-584.68893287 -398.023544    424.67003262 -447.61204821]
[-0.20379835 -0.21775829  0.40015063  1.13519062],[-0.20594887 -0.22575829  0.39680065  1.14319062],[-0.21415195 -0.23195427  0.40997797  1.15844312],[ 0.02939705  0.00157836 -0.00049252 -0.00372008],0.8011279106140137,[-464.35303761 -451.4324326   359.33521759 -563.4017496 ]
[-0.21394887 -0.23244922  0.40506245  1.12730883],[-0.20594887 -0.22444922  0.39706245  1.13271868],[-0.21397738 -0.23212884  0.40997797  1.15844312],[ 0.02064666  0.00093529 -0.00074664  0.0004019 ],0.8514511585235596,[-245.20407398  487.6507672   383.87326529 -470.73967518]
[-0.20477235 -0.22708866  0.39471357  1.12109652],[-0.20612338 -0.22348935  0.39706245  1.12399203],[-0.21397738 -0.23212884  0.40997797  1.15863486],[ 0.00023219  0.00035568 -0.00039317  0.00606634],0.9013683795928955,[-583.72811831 -437.28929235  459.59901382 -463.59761152]
[-0.21390379 -0.22100234  0.39732754  1.1075853 ],[-0.20629789 -0.22252949  0.39706245  1.11526537],[-0.21397738 -0.23195427  0.40997784  1.15940185],[-0.0172058   0.00058692  0.00030412  0.01269945],0.9517827033996582,[-263.34142214 -446.51702615  401.45149529 -525.85572136]
