target,real_target,js,jv,time,action
[-0.0513127  -0.23876105  0.27401668  0.60562927],[-0.0513127  -0.23876105  0.27401668  0.60562927],[-0.05829404 -0.23963363  0.28937565  0.61129134],[-0.00010273  0.01071391 -0.00059517 -0.00032936],0.0015938282012939453,[-953.69208632 -391.22813917  466.98566035 -733.69642045]
[-0.0513127  -0.23876105  0.27401668  0.60562927],[-0.0513127  -0.23876105  0.27401668  0.60562927],[-0.05829404 -0.23911005  0.28920095  0.61129134],[ 0.00105297  0.00978839 -0.00017269 -0.000122  ],0.05211138725280762,[-434.90671719 -397.19915971  414.43584297 -402.83103933]
[-0.05139998 -0.23867376  0.27401668  0.60562927],[-0.05139998 -0.23867376  0.27401668  0.60562927],[-0.05811947 -0.23893548  0.28937539  0.61129134],[ 9.01642283e-04  8.24836239e-03 -5.65854112e-05 -1.64633783e-05],0.10590052604675293,[-429.66803358 -399.73665085  416.10599758 -402.83103933]
[-0.05148727 -0.23858647  0.27401668  0.60562927],[-0.05148727 -0.23858647  0.27401668  0.60562927],[-0.05811947 -0.23858661  0.28937565  0.61119547],[ 0.00114354  0.00703228 -0.00055435 -0.00850009],0.15179228782653809,[-431.85120707 -398.42645553  415.36011646 -402.11198584]
[-0.05148727 -0.23849925  0.27401681  0.60562927],[-0.05148727 -0.23849925  0.27401681  0.60562927],[-0.0579449  -0.23858648  0.28937565  0.61062023],[-9.48002124e-05  4.68405342e-03 -2.00059002e-03 -9.55651846e-03],0.20187807083129883,[-429.66856039 -400.61111617  415.35826692 -398.46878147]
[-0.05148727 -0.23841204  0.27401695  0.60562927],[-0.05148727 -0.23841204  0.27401695  0.60562927],[-0.05759589 -0.23841191  0.28920095  0.61004498],[ 0.00657245  0.00238488 -0.00302842 -0.00170309],0.25200748443603516,[-425.30592169  400.52565085  414.43500022 -398.18116007]
[-0.05157449 -0.23832482  0.27401695  0.60562927],[-0.05157449 -0.23832482  0.27401695  0.60562927],[-0.05707231 -0.23841191  0.28937565  0.61023673],[ 0.01254886  0.00293329 -0.00204385 -0.00025609],0.30318474769592285,[-418.32354329 -400.61178003  416.10713657 -403.64596663]
[-0.0516617  -0.2382376   0.27401695  0.60562927],[-0.0516617  -0.2382376   0.27401695  0.60562927],[-0.05637417 -0.2380629   0.28920095  0.61004498],[ 0.01761376  0.0034475  -0.0010422  -0.00736131],0.35258030891418457,[-411.77711253  401.74963842  414.43557475 -400.86562645]
[-0.0516617  -0.2382376   0.27401695  0.60475659],[-0.0516617  -0.2382376   0.27401695  0.60475659],[-0.05602503 -0.2380629   0.28920095  0.60937387],[ 0.00682401  0.00215202 -0.00113073 -0.01377919],0.4014568328857422,[-416.57741209  400.17470518  415.18400397 -403.71952221]
[-0.0516617  -0.2382376   0.27401695  0.60388392],[-0.0516617  -0.2382376   0.27401695  0.60388392],[-0.0561996  -0.23806303  0.28920122  0.608511  ],[-0.00719917  0.00083938 -0.00127708 -0.014014  ],0.45198655128479004,[-425.30906482  400.17377094  415.18541119 -402.38219272]
[-0.0516617  -0.23832482  0.2739296   0.60039327],[-0.0516617  -0.23832482  0.2739296   0.60039327],[-0.0565486  -0.2382376   0.28920122  0.60812751],[-0.01517024 -0.00030842 -0.0017256  -0.00893504],0.5016062259674072,[-429.67170352  399.56169837  415.6458309  -425.61725148]
[-0.0516617  -0.23841204  0.27384225  0.59690261],[-0.0516617  -0.23841204  0.27384225  0.59690261],[-0.05707231 -0.23823747  0.28920122  0.60793576],[-0.0089772  -0.00056669 -0.00251761 -0.00360285],0.5531556606292725,[-434.9118554   400.70006348  415.7331815  -428.60893917]
[-0.05183627 -0.23841204  0.27358045  0.59253928],[-0.05183627 -0.23841204  0.27358045  0.59253928],[-0.05707231 -0.23841191  0.28920095  0.60774401],[ 0.00304637  0.00058426 -0.00259817 -0.00393451],0.6023139953613281,[-423.56058971  398.95071761  416.74090757 -436.80343071]
[-0.05201085 -0.23841204  0.27331865  0.58817595],[-0.05201085 -0.23841204  0.27331865  0.58817595],[-0.05689774 -0.23841204  0.28937565  0.60726464],[ 0.0094229   0.00170534 -0.00164003 -0.0092244 ],0.6524806022644043,[-419.19528396 -400.00080333  417.92697956 -436.73206054]
[-0.05209806 -0.23841204  0.2734931   0.57857662],[-0.05209806 -0.23841204  0.2734931   0.57857662],[-0.0565486  -0.2382376   0.28937565  0.60678528],[ 0.00730768  0.00216905 -0.00038252 -0.01189579],0.7021982669830322,[-415.70470066  401.22384811  415.13522289 -477.94403882]
[-0.05218528 -0.23841204  0.27366754  0.5689773 ],[-0.05218528 -0.23841204  0.27366754  0.5689773 ],[-0.0561996  -0.23823747  0.28937565  0.60611416],[-0.00114061  0.00188306  0.00031316 -0.00908262],0.7523136138916016,[-413.52557073  400.17536904  414.96077499 -481.06591136]
[-0.05235985 -0.23841204  0.2734931   0.55676001],[-0.05235985 -0.23841204  0.2734931   0.55676001],[-0.0561996  -0.23823747  0.28955009  0.60573066],[-0.00699858  0.00098593  0.00051898 -0.0055685 ],0.8019435405731201,[-416.57914565  400.17456796  417.55161782 -507.32184162]
[-0.05253442 -0.23841204  0.27331865  0.54454273],[-0.05253442 -0.23841204  0.27331865  0.54454273],[-0.0565486  -0.2382376   0.28955009  0.60563479],[-0.00513436  0.00082083 -0.00064259 -0.00495366],0.8532953262329102,[-422.68854008  400.17363373  416.97877739 -515.39589613]
[-0.05288349 -0.23841197  0.2732313   0.52796209],[-0.05288349 -0.23841197  0.2732313   0.52796209],[-0.05689774 -0.23823734  0.28955009  0.60544304],[ 4.26854788e-05 -3.61780031e-04 -7.97521559e-04 -7.88735416e-03],0.9021172523498535,[-420.07223576  400.17583282  416.69300322 -553.46273252]
[-0.05323257 -0.2384119   0.27314395  0.51138145],[-0.05323257 -0.2384119   0.27314395  0.51138145],[-0.05689774 -0.23841204  0.28955009  0.6048678 ],[ 0.00085543  0.00022292 -0.00145262 -0.01436397],0.9520175457000732,[-413.08766162 -401.05155522  416.78035382 -558.78096537]
[-0.05358164 -0.23832462  0.27314395  0.49305551],[-0.05358164 -0.23832462  0.27314395  0.49305551],[-0.05689774 -0.23823734  0.28955009  0.60362144],[-0.00024644  0.00125551 -0.00127086 -0.02472651],1.0036604404449463,[-411.34232587  400.61320107  416.40614382 -574.84002894]
[-0.05393071 -0.23823734  0.27314395  0.47472957],[-0.05393071 -0.23823734  0.27314395  0.47472957],[-0.05672317 -0.23823747  0.28955009  0.60237508],[ 0.00021545  0.00177872 -0.00262024 -0.03699739],1.0529813766479492,[-406.10451057 -400.52603218  416.40614382 -583.37981913]
[-0.05427972 -0.23815012  0.27305673  0.45116761],[-0.05427972 -0.23815012  0.27305673  0.45116761],[-0.05637417 -0.23823734  0.28937539  0.59940299],[ 8.04395584e-05  1.57343861e-03 -3.77229993e-03 -5.61705282e-02],1.1025819778442383,[-399.99781241 -400.61110995  415.9438632  -618.24675685]
[-0.05462873 -0.2380629   0.27296951  0.42760566],[-0.05462873 -0.2380629   0.27296951  0.42760566],[-0.05637417 -0.23841204  0.28920122  0.59585566],[-0.0035941   0.00099651 -0.00539658 -0.07614151],1.1516973972320557,[-403.48997764 -401.92484635  415.85919075 -624.22736925]
[-0.05506509 -0.2380629   0.27296951  0.39968039],[-0.05506509 -0.2380629   0.27296951  0.39968039],[-0.05672317 -0.23841191  0.28885181  0.59125372],[-0.0069192   0.00067683 -0.00698356 -0.09192699],1.2017865180969238,[-406.97960566 -400.34820222  414.38543753 -659.04994265]
[-0.05550145 -0.2380629   0.27296951  0.37175512],[-0.05550145 -0.2380629   0.27296951  0.37175512],[-0.05689774 -0.23858648  0.28867737  0.58550129],[-0.00511544  0.00135248 -0.00542489 -0.12136398],1.2514839172363281,[-403.05305423 -401.57378788  414.9605706  -662.08296345]
[-0.05602503 -0.23788846  0.2728823   0.34382986],[-0.05602503 -0.23788846  0.2728823   0.34382986],[-0.05707231 -0.23841191  0.28850294  0.57773551],[-0.00074375  0.00290792 -0.00299545 -0.15771182],1.3014864921569824,[-399.99925197 -400.52266307  415.24698551 -658.06926   ]
[-0.0565486  -0.23771402  0.27279508  0.31590459],[-0.0565486  -0.23771402  0.27279508  0.31590459],[-0.05689774 -0.23858648  0.28850294  0.56805226],[-0.00163673  0.00428971 -0.00321535 -0.19650354],1.3518283367156982,[-391.26931723 -402.97210248  416.08149034 -653.76793515]
[-0.05707225 -0.2376266   0.27296951  0.28536133],[-0.05707225 -0.2376266   0.27296951  0.28536133],[-0.05672317 -0.23858661  0.2883285   0.55625978],[-0.00596059  0.00518121 -0.00541469 -0.23112002],1.401944875717163,[ 412.22279516 -401.48671095  413.86442555 -666.70465289]
[-0.05759589 -0.23753919  0.27314395  0.25481808],[-0.05759589 -0.23753919  0.27314395  0.25481808],[-0.0565486  -0.23876118  0.28815406  0.5430292 ],[-0.0082244   0.00564261 -0.00570958 -0.26594521],1.4517319202423096,[ 415.71387336 -402.79811212  413.51555551 -665.29423824]
[-0.05811947 -0.23736475  0.2732313   0.22514748],[-0.05811947 -0.23736475  0.2732313   0.22514748],[-0.05672317 -0.23858661  0.28797936  0.52797701],[-0.00844154  0.00654215 -0.00529176 -0.30269133],1.5021300315856934,[ 412.21866957 -401.22103037  413.62542158 -653.74368672]
[-0.05864305 -0.23719032  0.27331865  0.19547687],[-0.05864305 -0.23719032  0.27331865  0.19547687],[-0.05689774 -0.23876091  0.28797909  0.51091148],[-0.00791621  0.00785808 -0.00462908 -0.34511189],1.5523371696472168,[ 413.96370108 -403.66859386  414.28509298 -645.95277188]
[-0.0590794  -0.23701575  0.27314408  0.16580628],[-0.0590794  -0.23701575  0.27314408  0.16580628],[-0.05689774 -0.23893562  0.28780492  0.49557167],[-0.00860166  0.00911766 -0.00545678 -0.38934916],1.6025242805480957,[ 417.45629372 -404.02112665  414.66253829 -665.19821256]
[-0.05951576 -0.23684117  0.27296951  0.13613568],[-0.05951576 -0.23684117  0.27296951  0.13613568],[-0.05689774 -0.23911005  0.28780466  0.47409594],[-0.01273006  0.01039868 -0.00534829 -0.42925293],1.6519067287445068,[ 419.63808449 -404.3685361   415.58184561 -626.34418304]
[-0.06012663 -0.23657932  0.27288216  0.10646509],[-0.06012663 -0.23657932  0.27288216  0.10646509],[-0.05689774 -0.23893562  0.28763022  0.44648428],[-0.01626295  0.01277898 -0.00536317 -0.46970851],1.701375961303711,[ 425.31103501 -402.88217612  414.37497627 -584.42219195]
[-0.06073749 -0.23631747  0.27279481  0.07679449],[-0.06073749 -0.23631747  0.27279481  0.07679449],[-0.05689774 -0.23893562  0.28763022  0.42692603],[-0.01360325  0.01417064 -0.005557   -0.49313767],1.7519896030426025,[ 428.36535396 -404.19344008  415.2096152  -645.85215645]
[-0.06117378 -0.23623031  0.27279495  0.04886922],[-0.06117378 -0.23623031  0.27279495  0.04886922],[-0.05672317 -0.23893548  0.28745551  0.3955753 ],[-0.0107556   0.01666067 -0.00562304 -0.51743466],1.8014590740203857,[ 431.41962326 -403.22870505  413.91156397 -549.37479186]
[-0.06161007 -0.23614316  0.27279508  0.02094395],[-0.06161007 -0.23614316  0.27279508  0.02094395],[-0.05707231 -0.23876105  0.28763022  0.36940175],[-0.01608153  0.02003144 -0.00430948 -0.52105279],1.8515875339508057,[ 423.99657497 -402.09281267  415.58299168 -586.49094875]
[-0.06213372 -0.23579395  0.27270773 -0.00698132],[-0.06213372 -0.23579395  0.27270773 -0.00698132],[-0.05742132 -0.23841204  0.28780492  0.34313233],[-0.0204658   0.02318207 -0.00189166 -0.52599239],1.9015097618103027,[ 426.1826031  -402.6193035   416.21983018 -586.64775604]
[-0.06265736 -0.23544474  0.27262038 -0.03490658],[-0.06265736 -0.23544474  0.27262038 -0.03490658],[-0.05777046 -0.23823734  0.28797936  0.31734228],[-0.0215445   0.02288567 -0.00190893 -0.51142237],1.951653242111206,[ 427.05312999 -403.84242107  416.48047694 -591.07094739]
[-0.06300637 -0.23535766  0.27253316 -0.06544985],[-0.06300637 -0.23535766  0.27253316 -0.06544985],[-0.0579449  -0.2382376   0.28797936  0.29222334],[-0.01573798  0.02080048 -0.00569876 -0.49095934],2.0015203952789307,[ 427.92696511 -403.4054354   415.81983058 -616.80688066]
[-0.06335538 -0.23527057  0.27244595 -0.09599311],[-0.06335538 -0.23527057  0.27244595 -0.09599311],[-0.0579449  -0.2382376   0.28763048  0.27324033],[-0.00965824  0.020139   -0.00885478 -0.47855673],2.051952600479126,[ 432.28960524 -403.49091563  414.06359632 -665.53846767]
