target,real_target,js,jv,time,action
[-0.0513127  -0.23876105  0.27401668  0.60562927],[-0.0513127  -0.23876105  0.27401668  0.60562927],[-0.05113813 -0.23945919  0.28326689  0.6129212 ],[-2.13593273e-05 -8.84436323e-03 -1.04693232e-03 -2.62061423e-04],0.0010387897491455078,[  413.96887028  -217.99929804    97.45870344 -1000.        ]
[-0.0513127  -0.23876105  0.27401668  0.60562927],[-0.0513127  -0.23876105  0.27401668  0.60562927],[-0.05113813 -0.23998277  0.28326689  0.61301707],[ 6.15854539e-05 -9.01146583e-03 -1.04711125e-03  6.95129907e-06],0.05283832550048828,[ 400.87285205 -404.37156172  409.25021665 -404.36502012]
[-0.05139998 -0.23867376  0.27401668  0.60562927],[-0.05139998 -0.23867376  0.27401668  0.60562927],[-0.05113813 -0.24033191  0.28309246  0.61301707],[-0.00048449 -0.00849912 -0.00107934 -0.00835782],0.10193037986755371,[ 402.61908405 -404.28372251  408.32849128 -403.69390353]
[-0.05148727 -0.23858647  0.27401668  0.60562927],[-0.05148727 -0.23858647  0.27401668  0.60562927],[-0.05096369 -0.24085549  0.28309246  0.61215421],[ 0.00155414 -0.00645359 -0.00100048 -0.03006965],0.1514887809753418,[ 406.54529877 -405.94400428  409.0757796  -397.22242208]
[-0.05148727 -0.23849925  0.27401681  0.60562927],[-0.05148727 -0.23849925  0.27401681  0.60562927],[-0.05113813 -0.24085549  0.28309246  0.60966149],[-0.00113447 -0.00299257 -0.00157157 -0.03631622],0.20203661918640137,[ 399.1281038  -402.88093049  409.07507096 -384.56708058]
[-0.05148727 -0.23841204  0.27401695  0.60562927],[-0.05148727 -0.23841204  0.27401695  0.60562927],[-0.05113813 -0.24085549  0.28291802  0.60822338],[-0.01121697 -0.00087482 -0.0038756  -0.01786097],0.2514357566833496,[ 401.7457062  -402.96814699  408.15321147 -391.23030962]
[-0.05157449 -0.23832482  0.27401695  0.60562927],[-0.05157449 -0.23832482  0.27401695  0.60562927],[-0.05113813 -0.24102993  0.28274332  0.60822338],[-0.00594054  0.00045494 -0.00350394 -0.00628095],0.3032851219177246,[ 403.49059669 -404.27921384  407.97794174 -401.29705854]
[-0.0516617  -0.2382376   0.27401695  0.60562927],[-0.0516617  -0.2382376   0.27401695  0.60562927],[-0.0513127  -0.24085536  0.28274332  0.60783989],[ 0.00787863  0.00112428  0.00111847 -0.02365873],0.35196375846862793,[ 400.43423687 -402.09223244  408.72637096 -398.42084457]
[-0.0516617  -0.2382376   0.27401695  0.60475659],[-0.0516617  -0.2382376   0.27401695  0.60475659],[-0.0513127  -0.24103006  0.28309246  0.6048678 ],[ 0.01336199 -0.0001424   0.00070826 -0.04674449],0.40178704261779785,[ 401.74503874 -403.84347121  410.57122894 -385.35968965]
[-0.0516617  -0.2382376   0.27401695  0.60388392],[-0.0516617  -0.2382376   0.27401695  0.60388392],[-0.05113813 -0.24085549  0.28274332  0.60256683],[ 0.00262665  0.00047979 -0.00029912 -0.04941362],0.45244359970092773,[ 405.23749035 -401.56767116  407.23065341  410.65664397]
[-0.0516617  -0.23832482  0.2739296   0.60039327],[-0.0516617  -0.23832482  0.2739296   0.60039327],[-0.05078912 -0.24085536  0.28291775  0.60074523],[-0.01389248  0.00285832  0.00068667 -0.02011587],0.5025420188903809,[ 409.60012905 -402.00504036  410.10965695 -411.85936129]
[-0.0516617  -0.23841204  0.27384225  0.59690261],[-0.0516617  -0.23841204  0.27384225  0.59690261],[-0.05078912 -0.24068092  0.28291802  0.60064935],[-0.00931405  0.00264871  0.00030264 -0.00600665],0.5525579452514648,[ 404.36292609 -400.69477459  409.45112644 -425.6368514 ]
[-0.05183627 -0.23841204  0.27358045  0.59253928],[-0.05183627 -0.23841204  0.27358045  0.59253928],[-0.05096369 -0.24068079  0.28309246  0.60026586],[ 0.00601704  0.00158952 -0.00028776 -0.01494597],0.6021721363067627,[ 404.36293848 -402.2679481   411.3808442  -431.72211935]
[-0.05201085 -0.23841204  0.27331865  0.58817595],[-0.05201085 -0.23841204  0.27331865  0.58817595],[-0.05113813 -0.24068105  0.28291802  0.59892362],[ 0.0119564   0.0006721  -0.00056539 -0.02553164],0.6520376205444336,[ 404.36560554 -402.27061765  409.973629   -426.52150092]
[-0.05209806 -0.23841204  0.2734931   0.57857662],[-0.05209806 -0.23841204  0.2734931   0.57857662],[-0.05113813 -0.24085549  0.28309246  0.59786901],[ 0.00260279  0.00110739 -0.00039271 -0.02186886],0.7029902935028076,[ 406.10848857 -403.49286585  409.59931525 -469.45920759]
[-0.05218528 -0.23841204  0.27366754  0.5689773 ],[-0.05218528 -0.23841204  0.27366754  0.5689773 ],[-0.05113813 -0.24068105  0.28309246  0.59729377],[-1.00705246e-02  2.34857262e-03  5.14892548e-05 -5.65718822e-03],0.751638650894165,[ 406.54458036 -401.21960219  408.67757903 -477.32683318]
[-0.05235985 -0.23841204  0.2734931   0.55676001],[-0.05235985 -0.23841204  0.2734931   0.55676001],[-0.05096369 -0.24068079  0.28309246  0.59777314],[-0.00781397  0.00283303  0.00023095  0.00467708],0.8015332221984863,[ 412.21799605 -402.26714702  410.34669648 -509.3831283 ]
[-0.05253442 -0.23841204  0.27331865  0.54454273],[-0.05253442 -0.23841204  0.27331865  0.54454273],[-0.05096369 -0.24050635  0.28309246  0.59806076],[ 3.22876013e-03  1.22870236e-03 -6.03750843e-05 -5.16682217e-04],0.8539447784423828,[ 410.47323849 -401.04489883  410.52114438 -514.29334744]
[-0.05288349 -0.23841197  0.2732313   0.52796209],[-0.05288349 -0.23841197  0.2732313   0.52796209],[-0.05096369 -0.24050635  0.28309246  0.59758139],[ 6.17675797e-03  8.20215612e-04 -7.58188178e-05 -7.09678439e-03],0.9022941589355469,[ 414.83724307 -402.09478259  410.23537021 -547.51855696]
[-0.05323257 -0.2384119   0.27314395  0.51138145],[-0.05323257 -0.2384119   0.27314395  0.51138145],[-0.05096369 -0.24050635  0.28309246  0.5971979 ],[-0.00120997  0.00116936 -0.00020228 -0.00402741],0.9535143375396729,[ 416.58261608 -402.09484964  410.32272081 -556.28824659]
[-0.05358164 -0.23832462  0.27314395  0.49305551],[-0.05358164 -0.23832462  0.27314395  0.49305551],[-0.05096369 -0.24050635  0.28326689  0.5971979 ],[-5.92155310e-03  1.42221877e-03  1.88884180e-05  7.42244972e-04],1.001556158065796,[ 418.32795183 -402.70682764  410.87023619 -580.35277239]
[-0.05393071 -0.23823734  0.27314395  0.47472957],[-0.05393071 -0.23823734  0.27314395  0.47472957],[-0.05113813 -0.24033191  0.28326689  0.59700615],[-4.77702017e-04  1.08447296e-03 -6.54529704e-05 -1.14684361e-02],1.0514874458312988,[ 416.58352788 -401.57026084  410.12294786 -588.07763529]
[-0.05427972 -0.23815012  0.27305673  0.45116761],[-0.05427972 -0.23815012  0.27305673  0.45116761],[-0.05113813 -0.24033191  0.28326689  0.59537629],[ 0.00349414  0.0009242  -0.00013879 -0.04353043],1.1015219688415527,[ 420.94518972 -402.70648723  410.58379983 -625.62903939]
[-0.05462873 -0.2380629   0.27296951  0.42760566],[-0.05462873 -0.2380629   0.27296951  0.42760566],[-0.05113813 -0.24015721  0.28309219  0.59259595],[ 0.00213743  0.00115739 -0.0006134  -0.06539295],1.151526689529419,[ 422.69022746 -401.5679849   409.74788373 -627.96644742]
[-0.05506509 -0.2380629   0.27296951  0.39968039],[-0.05506509 -0.2380629   0.27296951  0.39968039],[-0.05113813 -0.24015721  0.28291775  0.58713115],[-0.01029906  0.00255278 -0.00492224 -0.08569354],1.2024664878845215,[ 426.1828387  -402.09430592  409.20095211 -650.94860662]
[-0.05550145 -0.2380629   0.27296951  0.37175512],[-0.05550145 -0.2380629   0.27296951  0.37175512],[-0.05113813 -0.24015721  0.28256861  0.58214571],[-0.01188413  0.00513425 -0.00744092 -0.10296184],1.2519745826721191,[ 428.36463878 -402.09430592  408.10338246 -665.77410472]
[-0.05602503 -0.23788846  0.2728823   0.34382986],[-0.05602503 -0.23788846  0.2728823   0.34382986],[-0.05148727 -0.23980807  0.28239418  0.57716027],[-0.00741341  0.00725911 -0.00465406 -0.13138743],1.303055763244629,[ 425.30638887 -400.86861089  409.13822661 -677.24401984]
[-0.0565486  -0.23771402  0.27279508  0.31590459],[-0.0565486  -0.23771402  0.27279508  0.31590459],[-0.05183627 -0.23963376  0.28256888  0.56881925],[ 0.00019379  0.00819176 -0.00037435 -0.17547489],1.3528499603271484,[ 426.1812333  -401.92056398  410.89586403 -663.54706267]
[-0.05707225 -0.2376266   0.27296951  0.28536133],[-0.05707225 -0.2376266   0.27296951  0.28536133],[-0.05218528 -0.2396339   0.28291802  0.55741027],[-0.0029221  0.0074653 -0.0005134 -0.2224486],1.4049177169799805,[ 427.05545833 -402.53399904  410.69695337 -669.96436207]
[-0.05759589 -0.23753919  0.27314395  0.25481808],[-0.05759589 -0.23753919  0.27314395  0.25481808],[-0.05235985 -0.23963376  0.28274332  0.54168697],[-0.01539594  0.00785157 -0.00357127 -0.26598979],1.4527356624603271,[ 431.41843683 -402.61968139  408.10367023 -647.17409018]
[-0.05811947 -0.23736475  0.2732313   0.22514748],[-0.05811947 -0.23736475  0.2732313   0.22514748],[-0.05253442 -0.23945919  0.28274332  0.53008624],[-0.01925987  0.01000408 -0.00396964 -0.29263347],1.5030689239501953,[ 433.16243417 -402.0936151   409.13780979 -678.95849592]
[-0.05864305 -0.23719032  0.27331865  0.19547687],[-0.05864305 -0.23719032  0.27331865  0.19547687],[-0.05288343 -0.23911019  0.28274332  0.51388356],[-0.01657573  0.01322244 -0.0030561  -0.3322151 ],1.5515801906585693,[ 431.41767804 -400.86962753  409.05045918 -653.47886513]
[-0.0590794  -0.23701575  0.27314408  0.16580628],[-0.0590794  -0.23701575  0.27314408  0.16580628],[-0.05323257 -0.23893548  0.28291775  0.49087385],[-0.00728368  0.01396605 -0.00294369 -0.38793815],1.6026482582092285,[ 430.54296984 -401.91896257  411.26880713 -609.1599769 ]
[-0.05951576 -0.23684117  0.27296951  0.13613568],[-0.05951576 -0.23684117  0.27296951  0.13613568],[-0.05358158 -0.23893562  0.28291775  0.46939812],[-0.00984466  0.01293521 -0.00359738 -0.43174731],1.652212381362915,[ 430.98172248 -403.14548682  410.69608591 -623.99527496]
[-0.06012663 -0.23657932  0.27288216  0.10646509],[-0.06012663 -0.23657932  0.27288216  0.10646509],[-0.05375615 -0.23893548  0.28309219  0.44610079],[-0.01685198  0.01362223 -0.00397266 -0.46449501],1.7014052867889404,[ 438.39942435 -403.93065519  411.33152642 -614.43069112]
[-0.06073749 -0.23631747  0.27279481  0.07679449],[-0.06073749 -0.23631747  0.27279481  0.07679449],[-0.05393072 -0.23876091  0.28309219  0.42203646],[-0.01966604  0.01570494 -0.00417521 -0.47601388],1.75150465965271,[ 440.58089225 -402.96852233  410.6715887  -611.86489461]
[-0.06117378 -0.23623031  0.27279495  0.04886922],[-0.06117378 -0.23623031  0.27279495  0.04886922],[-0.05427972 -0.23841191  0.28326689  0.39749277],[-0.01400633  0.01844505 -0.00306817 -0.47888061],1.8014349937438965,[ 435.78007124 -400.60630098  411.21980266 -597.98280808]
[-0.06161007 -0.23614316  0.27279508  0.02094395],[-0.06161007 -0.23614316  0.27279508  0.02094395],[-0.05445429 -0.23841204  0.28379074  0.3732367 ],[-4.56624872e-03  2.06664135e-02  4.08701601e-05 -4.92290654e-01],1.851503610610962,[ 439.70627808 -402.79401979  413.23922989 -601.83075663]
[-0.06213372 -0.23579395  0.27270773 -0.00698132],[-0.06213372 -0.23579395  0.27270773 -0.00698132],[-0.0548033  -0.23823747  0.28413961  0.34783014],[-0.00593004  0.02040661 -0.00150781 -0.50534827],1.9013655185699463,[ 439.27270565 -403.49414659  413.300669   -595.03671347]
[-0.06265736 -0.23544474  0.27262038 -0.03490658],[-0.06265736 -0.23544474  0.27262038 -0.03490658],[-0.05497787 -0.23823734  0.28413961  0.3275049 ],[-0.0132914   0.01876296 -0.00590337 -0.50666034],1.9516384601593018,[ 443.63568415 -404.89263545  411.89344295 -634.40590464]
[-0.06300637 -0.23535766  0.27253316 -0.06544985],[-0.06300637 -0.23535766  0.27253316 -0.06544985],[-0.05497787 -0.23823734  0.28413961  0.29692116],[-0.02080977  0.01905432 -0.00353191 -0.49244751],2.0013787746429443,[ 445.37970636 -403.40356693  411.98008492 -580.90214285]
[-0.06335538 -0.23527057  0.27244595 -0.09599311],[-0.06335538 -0.23527057  0.27244595 -0.09599311],[-0.05532701 -0.2380629   0.28466319  0.27784227],[-1.99375766e-02  2.00887297e-02 -3.89837890e-04 -4.76993257e-01],2.0526583194732666,[ 440.13984087 -402.26679896  414.83388477 -667.16832225]
[-0.06379174 -0.23500865  0.2723586  -0.12042761],[-0.06379174 -0.23500865  0.2723586  -0.12042761],[-0.05585059 -0.23771376  0.28483763  0.25051824],[-0.01534865  0.01999406 -0.00211462 -0.45678775],2.1022517681121826,[ 438.3969251  -402.18042238  413.6005294  -565.2462175 ]
[-0.0642281  -0.23474672  0.27227125 -0.14486212],[-0.0642281  -0.23474672  0.27227125 -0.14486212],[-0.05602503 -0.23788846  0.28483789  0.23719178],[-0.0136962   0.01854649 -0.0036933  -0.45041348],2.1514503955841064,[ 444.94573174 -405.76849513  412.9419989  -668.78326287]
[-0.06457717 -0.23457222  0.27227125 -0.17191477],[-0.06457717 -0.23457222  0.27227125 -0.17191477],[-0.05672317 -0.23771389  0.28501233  0.209676  ],[-0.01190304  0.01630329 -0.00429677 -0.45166074],2.201711416244507,[ 434.03178769 -403.14124565  413.48837338 -587.55351311]
[-0.06492624 -0.23439772  0.27227125 -0.19896743],[-0.06492624 -0.23439772  0.27227125 -0.19896743],[-0.05707231 -0.23771389  0.28501233  0.1873374 ],[-0.01782508  0.01605479 -0.00335575 -0.43897161],2.2524402141571045,[ 439.26866156 -404.36596008  412.74108505 -626.15083952]
[-0.06527532 -0.23422322  0.27227138 -0.22863798],[-0.06527532 -0.23422322  0.27227138 -0.22863798],[-0.05742132 -0.23753932  0.2853612   0.16183497],[-0.01753429  0.01738079 -0.00253631 -0.41954791],2.3020129203796387,[ 439.27099644 -403.31572781  414.58382717 -624.41332152]
[-0.06562439 -0.23404871  0.27227151 -0.25830853],[-0.06562439 -0.23404871  0.27227151 -0.25830853],[-0.05777046 -0.23736462  0.2853612   0.14582405],[-0.0140939   0.01831075 -0.0026425  -0.40402114],2.3518223762512207,[ 439.26866918 -403.31473086  413.0891164  -697.68367787]
[-0.06597346 -0.23343785  0.27227151 -0.28187057],[-0.06597346 -0.23343785  0.27227151 -0.28187057],[-0.05829404 -0.23719018  0.28553591  0.12204735],[-0.01000092  0.0172463  -0.00373996 -0.39073064],2.4014313220977783,[ 435.77847792 -406.37784     414.01282352 -600.45635195]
[-0.06632254 -0.23282699  0.27227151 -0.30543262],[-0.06632254 -0.23282699  0.27227151 -0.30543262],[-0.05864305 -0.23736475  0.28553591  0.10670754],[-0.00953159  0.01516273 -0.00562882 -0.39072668],2.4525203704833984,[ 438.39839656 -409.26289609  413.2643943  -663.6257303 ]
[-0.06649704 -0.23221613  0.27209693 -0.33161256],[-0.06649704 -0.23221613  0.27209693 -0.33161256],[-0.05916662 -0.23719031  0.28553591  0.08695754],[-0.01538267  0.01410159 -0.00541558 -0.40021552],2.5019443035125732,[ 431.41387356 -407.59974184  414.18688561 -654.29460459]
[-0.06667154 -0.23160526  0.27192235 -0.3577925 ],[-0.06667154 -0.23160526  0.27192235 -0.3577925 ],[-0.05969033 -0.23719018  0.28571035  0.06711166],[-0.02289696  0.01534279 -0.0028405  -0.39055397],2.5530636310577393,[ 429.66584112 -409.25908655  415.28319299 -656.79051953]
[-0.06649704 -0.2309944   0.27026427 -0.38659032],[-0.06649704 -0.2309944   0.27026427 -0.38659032],[-0.06056292 -0.23684117  0.28605949  0.04822452],[-0.02624079  0.01710152 -0.00110939 -0.36467234],2.604947090148926,[ 413.95798656 -407.42206607  424.39415866 -686.78219127]
[-0.06632254 -0.23038355  0.26860619 -0.41538814],[-0.06632254 -0.23038355  0.26860619 -0.41538814],[-0.06178464 -0.23649217  0.28588505  0.02770753],[-0.02129845  0.01610576 -0.00223108 -0.35229047],2.651473045349121,[ 401.73764082 -407.68391701  423.63479774 -679.51362275]
[-0.06571167 -0.2298599   0.2658136  -0.43807748],[-0.06571167 -0.2298599   0.2658136  -0.43807748],[-0.06300637 -0.23649203  0.28623392  0.00997088],[-0.01819386  0.01365646 -0.00281358 -0.3644737 ],2.701850414276123,[ 386.02671497 -409.78160999  433.87831635 -658.69300483]
[-0.06510081 -0.22933625  0.26302102 -0.46076682],[-0.06510081 -0.22933625  0.26302102 -0.46076682],[-0.06405366 -0.23649217  0.28623419 -0.00882039],[-0.02234368  0.0123396  -0.0034025  -0.37946973],2.7515032291412354,[ 380.35356724 -410.30699446  435.17772882 -653.25976121]
[-0.0636173  -0.22863811  0.25987956 -0.48694675],[-0.0636173  -0.22863811  0.25987956 -0.48694675],[-0.06492624 -0.23649203  0.28640836 -0.02914563],[-0.02612377  0.01247626 -0.00336046 -0.4060071 ],2.8015921115875244,[-441.90032553 -412.05314837  440.73297461 -669.88331004]
[-0.06213379 -0.22793996  0.2567381  -0.51312667],[-0.06213379 -0.22793996  0.2567381  -0.51312667],[-0.06579896 -0.2363176   0.28623419 -0.05023787],[-0.02495326  0.01285223 -0.0052747  -0.42170473],2.851553440093994,[-453.68347836 -411.52824085  442.20797182 -667.05822167]
[-0.06021391 -0.22663102  0.25429463 -0.53581601],[-0.06021391 -0.22663102  0.25429463 -0.53581601],[-0.06649711 -0.23649217  0.28605949 -0.07161773],[-0.02359105  0.01336957 -0.00997843 -0.42325256],2.9016993045806885,[-470.7019999  -418.78599572  441.48421644 -641.26553976]
[-0.05829404 -0.22532207  0.25185117 -0.55850536],[-0.05829404 -0.22532207  0.25185117 -0.55850536],[-0.06736969 -0.23649203  0.28588478 -0.08849152],[-0.02075593  0.01385639 -0.0095866  -0.43395647],2.9515380859375,[-487.28189124 -419.04379491  443.75297568 -675.71579663]
[-0.05672324 -0.22375127  0.24905859 -0.57421321],[-0.05672324 -0.22375127  0.24905859 -0.57421321],[-0.06841698 -0.23631746  0.28588478 -0.11658254],[-0.01394363  0.01430108 -0.00458747 -0.4809115 ],3.001372814178467,[-497.75570927 -420.9659034   448.78961393 -542.13312439]
[-0.05515244 -0.22218047  0.24626601 -0.58992106],[-0.05515244 -0.22218047  0.24626601 -0.58992106],[-0.06928957 -0.2363176   0.28623392 -0.14266021],[-0.01533552  0.01500903 -0.00195472 -0.52618004],3.051309585571289,[-507.35102647 -423.58785047  453.42705382 -551.04166141]
[-0.05323257 -0.2202606   0.23893565 -0.60388374],[-0.05323257 -0.2202606   0.23893565 -0.60388374],[-0.06963857 -0.23631773  0.28658306 -0.17027187],[-0.01987678  0.01728914 -0.00195441 -0.53212678],3.1016485691070557,[-516.07683803 -427.60788949  480.54638513 -521.26316107]
[-0.0513127  -0.21834072  0.23160529 -0.61784643],[-0.0513127  -0.21834072  0.23160529 -0.61784643],[-0.07016228 -0.23614289  0.28658306 -0.19078886],[-0.01830716  0.01820933 -0.00589657 -0.50608929],3.1513986587524414,[-530.9163552  -428.30030841  486.3810256  -567.64863559]
[-0.0483456  -0.21755529  0.22261672 -0.62308249],[-0.0483456  -0.21755529  0.22261672 -0.62308249],[-0.07068586 -0.23596846  0.28640863 -0.21840051],[-0.01251843  0.01913129 -0.00747424 -0.44889558],3.207338809967041,[-564.08233188 -422.08891449  501.55163286 -445.71182377]
[-0.04537851 -0.21676986  0.21362816 -0.62831855],[-0.04537851 -0.21676986  0.21362816 -0.62831855],[-0.07103487 -0.23631773  0.28675777 -0.23546605],[-0.00441155  0.01808092 -0.00534581 -0.4517877 ],3.2517125606536865,[-578.04324264 -426.37426396  513.13234585 -513.61991077]
[-0.04110247 -0.21589721  0.20472708 -0.62831855],[-0.04110247 -0.21589721  0.20472708 -0.62831855],[-0.07155845 -0.23649217  0.28658306 -0.25895513],[ 0.00165122  0.01745569 -0.00794417 -0.47163574],3.3078484535217285,[-624.30290349 -426.89422817  519.23979316 -420.25814252]
[-0.03682643 -0.21502456  0.19582599 -0.62831855],[-0.03682643 -0.21502456  0.19582599 -0.62831855],[-0.07243116 -0.23631746  0.28658306 -0.28608742],[-0.02005987  0.01898646 -0.00712505 -0.42867572],3.351640224456787,[-655.28588014 -425.49174529  528.88930436 -381.18956933]
[-0.03080509 -0.21371555  0.18596485 -0.62570065],[-0.03080509 -0.21371555  0.18596485 -0.62570065],[-0.07347832 -0.23614303  0.28658306 -0.30478281],[-0.03722718  0.01877981 -0.00619083 -0.34774775],3.4036166667938232,[-719.435997   -429.25310073  542.86337992 -411.26591721]
[-0.02478375 -0.21240653  0.1761037  -0.62308276],[-0.02478375 -0.21240653  0.1761037  -0.62308276],[-0.07452561 -0.23614289  0.28623392 -0.31830101],[-0.02646132  0.01677598 -0.01419163 -0.27212979],3.4516441822052,[-754.78114221 -431.61059465  550.87967084 -439.43816268]
[-0.01963499 -0.21170846  0.16728983 -0.61871943],[-0.01963499 -0.21170846  0.16728983 -0.61871943],[-0.07539819 -0.23596859  0.28483789 -0.32923063],[-0.00733697  0.01640398 -0.02836434 -0.23162316],3.502418041229248,[-769.17221971 -427.41113832  549.32607428 -437.69381176]
[-0.01448624 -0.21101038  0.15847597 -0.6143561 ],[-0.01448624 -0.21101038  0.15847597 -0.6143561 ],[-0.07592177 -0.23579415  0.28221974 -0.33968087],[-0.00083878  0.0170666  -0.05052095 -0.2170917 ],3.553349256515503,[-792.29668104 -427.93397489  550.2862042  -433.64260857]
[-0.00925026 -0.21057396  0.14259341 -0.61261067],[-0.00925026 -0.21057396  0.14259341 -0.61261067],[-0.07627091 -0.23527031  0.27855443 -0.3476384 ],[-0.00290899  0.01633401 -0.06951247 -0.17868351],3.602938175201416,[-818.9134668  -424.17044207  588.29972649 -464.56543028]
[-0.00401429 -0.21013753  0.12671085 -0.61086524],[-0.00401429 -0.21013753  0.12671085 -0.61086524],[-0.07644535 -0.23474673  0.27523826 -0.35377432],[-0.01457304  0.0162553  -0.07880453 -0.11009933],3.651878595352173,[-843.34392671 -424.08489196  602.36183498 -473.37596769]
[ 3.49034090e-04 -2.10050307e-01  1.10828418e-01 -6.11737967e-01],[ 3.49034090e-04 -2.10050307e-01  1.10828418e-01 -6.11737967e-01],[-0.07644535 -0.23422315  0.26947864 -0.35655466],[-0.01269501  0.01790642 -0.09979294 -0.05496187],3.7023818492889404,[-849.44793017 -421.54774365  602.01634557 -514.23839079]
[ 0.00471236 -0.20996308  0.09494599 -0.6126107 ],[ 0.00471236 -0.20996308  0.09494599 -0.6126107 ],[-0.07644535 -0.2333507   0.26267214 -0.35799277],[ 0.00811208  0.01596517 -0.12709326 -0.04201315],3.752246618270874,[-871.26454565 -418.66368942  606.60739632 -523.35133523]
[ 0.00750488 -0.21005037  0.08255417 -0.61610129],[ 0.00750488 -0.21005037  0.08255417 -0.61610129],[-0.07609634 -0.23282699  0.25411993 -0.36019786],[ 0.01039229  0.01569802 -0.16616794 -0.03715719],3.802034616470337,[-854.67351863 -419.10083138  588.01467411 -536.95021289]
[ 0.01029741 -0.21013767  0.07016234 -0.61959189],[ 0.01029741 -0.21013767  0.07016234 -0.61959189],[-0.07592177 -0.23160527  0.24172824 -0.36144422],[ 0.00132441  0.01864669 -0.23028992 -0.01959759],3.8525149822235107,[-870.38089085 -413.59255986  571.56648032 -544.78349765]
[ 0.01422444 -0.21135946  0.05995218 -0.62919125],[ 0.01422444 -0.21135946  0.05995218 -0.62919125],[-0.07557276 -0.23073242  0.22549654 -0.3611566 ],[ 1.33792116e-04  1.89729115e-02 -3.02650777e-01  1.03079543e-02],3.9020464420318604,[-902.67781791 -406.77159307  539.74807961 -603.22617862]
[ 0.01815147 -0.21258125  0.04974202 -0.63879061],[ 0.01815147 -0.21258125  0.04974202 -0.63879061],[-0.07522375 -0.23020897  0.20699609 -0.35971849],[ 0.00590132  0.01185964 -0.35165653  0.01375374],3.9517507553100586,[-920.56793694 -407.12838876  521.73848046 -616.79831017]
[ 0.02330016 -0.21406475  0.04782215 -0.64926243],[ 0.02330016 -0.21406475  0.04782215 -0.64926243],[-0.07470004 -0.2300344   0.19146267 -0.35962262],[ 0.01720333  0.00752234 -0.37100393  0.00048802],4.005671977996826,[-959.40343427 -405.99465097  485.32008099 -618.79376608]
[ 0.02844885 -0.21554826  0.04590228 -0.65973425],[ 0.02844885 -0.21554826  0.04590228 -0.65973425],[-0.07347832 -0.22985983  0.17034407 -0.36144422],[ 0.02513732  0.00609986 -0.34732736 -0.04631807],4.05195164680481,[-968.56384892 -404.3365733   442.19443378 -609.6965435 ]
[ 0.03586648 -0.2166827   0.04555327 -0.67107904],[ 0.03586648 -0.2166827   0.04555327 -0.67107904],[-0.07243116 -0.22951069  0.1586504  -0.36460806],[ 0.02620416  0.00645105 -0.25562748 -0.07544348],4.102237224578857,[-1000.          -403.90276619   464.49657511  -610.50217611]
[ 0.04328412 -0.21781714  0.04520426 -0.68242383],[ 0.04328412 -0.21781714  0.04520426 -0.68242383],[-0.07103487 -0.22898711  0.15306522 -0.36949762],[ 0.02158495  0.00932988 -0.14575655 -0.0917376 ],4.1529810428619385,[-1000.          -401.19533511   485.42918348  -601.64969076]
[ 0.05445428 -0.21921337  0.04345883 -0.69464108],[ 0.05445428 -0.21921337  0.04345883 -0.69464108],[-0.069115   -0.22846354  0.15079647 -0.37467481],[ 0.02846131  0.01295728 -0.08509163 -0.0986083 ],4.204502820968628,[-1000.          -397.70059133   505.09577926  -609.26361603]
[ 0.06562445 -0.22060961  0.04171339 -0.70685834],[ 0.06562445 -0.22060961  0.04171339 -0.70685834],[-0.06632254 -0.22828896  0.14992375 -0.38033136],[ 0.05644423  0.0078773  -0.03744209 -0.12618612],4.252466678619385,[-1000.          -398.22941745   511.94908613  -609.1883827 ]
[ 0.07557281 -0.2220059   0.03996809 -0.71907559],[ 0.07557281 -0.2220059   0.03996809 -0.71907559],[-0.06195922 -0.22933612  0.15044733 -0.38828889],[ 0.09784083  0.00480079 -0.01874935 -0.16831754],4.305178642272949,[-1000.          -405.22976908   520.19912063  -595.21144849]
[ 0.08552118 -0.2234022   0.03822279 -0.73129284],[ 0.08552118 -0.2234022   0.03822279 -0.73129284],[-0.05427972 -0.22951082  0.15009845 -0.40056073],[ 0.13338589  0.00795663 -0.01299085 -0.20169723],4.352892875671387,[-1000.          -398.75950537   517.85796621  -564.9839053 ]
[ 0.09599314 -0.2265438   0.03682649 -0.7435101 ],[ 0.09599314 -0.2265438   0.03682649 -0.7435101 ],[-0.04590208 -0.22951096  0.14974931 -0.41158622],[ 0.15450079  0.01410412 -0.01364677 -0.20947964],4.401853322982788,[-1000.          -384.06811143   517.40884109  -574.30430429]
[ 0.10646509 -0.2296854   0.03543019 -0.75572735],[ 0.10646509 -0.2296854   0.03543019 -0.75572735],[-0.03612828 -0.22898711  0.14905103 -0.42241996],[ 0.18378327  0.01818213 -0.01737936 -0.21838675],4.4519922733306885,[-1000.           422.74957457   516.61113925  -576.33829455]
