target,real_target,js,jv,time,action
[-0.080601    0.03112764  0.1765754   1.2513639 ],[-0.10725046 -0.0121301   0.17462017  1.26536369],[-0.10943219 -0.01274096  0.1783727   1.27061546],[ 7.83534372e-05 -6.16879008e-03 -1.44773494e-04  2.64143074e-04],0.007292509078979492,[-764.27639339 -917.0773603   613.63475927 -730.94164198]
[-0.08256916  0.02725222  0.17277642  1.2487613 ],[-0.10733775 -0.01204281  0.1747074   1.26536369],[-0.10943219 -0.01308984  0.17837244  1.27061546],[ 0.00027875 -0.00617589 -0.00016478 -0.00038983],0.055299997329711914,[-504.78086738 -419.12637919  421.86969894 -429.14490838]
[-0.08443205  0.02384756  0.17196906  1.2457085 ],[-0.10742503 -0.01195553  0.17462017  1.26536369],[-0.10943219 -0.01343898  0.1783727   1.27061546],[-8.30716538e-04 -5.17714849e-03 -2.34169362e-04 -3.62428486e-05],0.10526847839355469,[-497.04610561 -418.9045534   409.8635647  -433.82348933]
[-0.08637067  0.02124864  0.17398886  1.2409776 ],[-0.10751232 -0.01186824  0.17453295  1.26536369],[-0.10943219 -0.01326454  0.1783727   1.27071134],[-0.00076442  0.00132116 -0.00164904  0.00031886],0.15648722648620605,[-486.21681318 -417.82865954  395.73094399 -448.65368979]
[-0.08704649  0.01614342  0.17735726  1.2335436 ],[-0.10751232 -0.01186824  0.17462017  1.26536369],[-0.10943219 -0.01169354  0.17837244  1.27051959],[-0.00316191  0.02020739  0.00369633 -0.00095597],0.21065258979797363,[-501.78705359 -387.6728471   386.58388438 -469.1838496 ]
[-0.08729209  0.00985388  0.18239473  1.2244226 ],[-0.10751232 -0.01186824  0.1747074   1.26536369],[-0.1097812  -0.00890108  0.17959429  1.27051959],[-0.00172121  0.05172209  0.00445352  0.00072976],0.2552616596221924,[-513.99734257 -364.11762946 -419.14655015 -486.89577031]
[-0.08723902  0.00571161  0.18675208  1.2152368 ],[-0.10751232 -0.01186824  0.1747074   1.26536369],[-0.1097812  -0.00593406  0.18029231  1.27061546],[ 0.00279808  0.0565733   0.01264748 -0.00033463],0.3084571361541748,[-513.50734013 -368.87614075 -422.13640641 -492.66110196]
[-0.08808666  0.00334144  0.18663818  1.2037802 ],[-0.10751232 -0.01186824  0.1747074   1.26536369],[-0.10925762 -0.00471246  0.18029258  1.27061546],[ 0.00503256  0.03454035  0.01092372 -0.00186972],0.3601491451263428,[-485.27812132 -386.4458543  -405.85649757 -513.61397301]
[-8.9089364e-02  7.3242933e-04  1.8856749e-01  1.1855303e+00],[-0.10751232 -0.01186824  0.1747074   1.26361841],[-0.10873404 -0.00401418  0.18029258  1.27032784],[ 0.00456112  0.01847811  0.00427678 -0.00517488],0.4084897041320801,[-475.32005561 -384.84995704 -416.54008701 -568.13439184]
[-0.09109321 -0.00342882  0.19139823  1.1624333 ],[-0.10751232 -0.01186824  0.1747074   1.26187313],[-0.10855947 -0.00349074  0.18011814  1.2697526 ],[ 0.00226272  0.01131433  0.00133509 -0.01032967],0.45795106887817383,[-454.64204827 -371.87881041 -424.15427125 -611.31210276]
[-0.09322511 -0.00627595  0.19634959  1.139958  ],[-0.1075996  -0.01186818  0.1747074   1.25925511],[-0.10890848 -0.00331617  0.18029258  1.26917735],[-0.00262003  0.00546499  0.00055209 -0.01526306],0.5144400596618652,[-451.66264495  421.13835817 -436.52134504 -617.90982206]
[-0.09504186 -0.01009493  0.19754553  1.121249  ],[-0.10768689 -0.01186811  0.1747074   1.2566371 ],[-0.10908305 -0.00366518  0.18029258  1.26802687],[-0.00643928  0.0008622  -0.00015956 -0.03753244],0.5580446720123291,[-445.56344173  427.3051106  -422.37638003 -596.29897594]
[-0.09798763 -0.01510112  0.19955416  1.1046859 ],[-0.10777411 -0.01195546  0.17444561  1.25227374],[-0.10925762 -0.00366531  0.18029258  1.26467129],[-0.00368446  0.00043104  0.00012739 -0.08068192],0.608285665512085,[-414.76543595  441.55226199 -427.8665091  -572.44513275]
[-0.10106036 -0.01971503  0.19877778  1.0836091 ],[-0.10786133 -0.01204281  0.17418382  1.24791038],[-0.10925762 -0.00366531  0.18046728  1.25920648],[-0.00200601  0.00075467  0.00133842 -0.1034863 ],0.6600601673126221,[-394.87682059  443.80697078 -414.23606449 -597.08253639]
[-0.10066222 -0.02204889  0.19938585  1.0565549 ],[-0.10794861 -0.01204275  0.17418382  1.24092907],[-0.10908305 -0.00366518  0.18064145  1.2532623 ],[-0.00263691  0.00176107  0.00196412 -0.11766018],0.7047746181488037,[-445.45895324  432.42503136 -420.60319363 -646.12385035]
[-0.10129384 -0.02495402  0.197537    1.0332302 ],[-0.1080359  -0.01204268  0.17418382  1.23394775],[-0.10890848 -0.00383975  0.18099059  1.24674289],[-0.00865672  0.00245404  0.00651327 -0.14266599],0.7551240921020508,[-425.97562279  437.54132512 -407.1303104  -624.39350055]
[-0.10326    -0.02552263  0.19889005  1.0090123 ],[-0.1082104  -0.01204275  0.17427117  1.22347581],[-0.10890848 -0.00401445  0.18221245  1.23830599],[ 0.00222911  0.00386487  0.01558263 -0.17349606],0.8058993816375732,[-398.73826541  423.87792781 -417.23957289 -625.11339489]
[-0.10489879 -0.03015918  0.19690765  0.98384833],[-0.10838491 -0.01204281  0.17435852  1.21300387],[-0.10908305 -0.00401432  0.18343404  1.22833512],[ 0.00554291  0.00414911  0.01940296 -0.2112581 ],0.8554501533508301,[-398.94922692  454.03918572 -399.74778477 -628.59542215]
[-0.10645532 -0.03366575  0.19599487  0.9602616 ],[-0.10864669 -0.01213003  0.17418382  1.19904125],[-0.10908305 -0.00453789  0.1844812   1.2159674 ],[-0.00375485 -0.00161787  0.0173169  -0.26314383],0.9054620265960693,[-389.78136571  447.07353317 -403.11728791 -606.38607381]
[-0.10701656 -0.0370622   0.19264582  0.92809856],[-0.10890848 -0.01221725  0.17400911  1.18507862],[-0.10908305 -0.00558505  0.18517948  1.198039  ],[-0.01430966 -0.00826609  0.01038935 -0.29321547],0.9665465354919434,[-401.91061346  445.61050169 -390.1275609  -634.61257822]
[-0.1070443  -0.04052063  0.19376127  0.8860873 ],[-0.10934484 -0.01221725  0.1739219   1.16587996],[-0.10908305 -0.0066322   0.18552835  1.1855754 ],[-0.01769401 -0.01226966  0.00573217 -0.29946201],1.0070931911468506,[-409.77732799  448.39466325 -411.51693572 -756.57764682]
[-0.10853203 -0.04568085  0.19258069  0.8455561 ],[-0.1097812  -0.01221725  0.17383468  1.14668131],[-0.10925762 -0.00837751  0.18622663  1.17004385],[-0.01828448 -0.01709206  0.00361677 -0.31768456],1.0555145740509033,[-383.92267477  457.84748483 -398.30502593 -737.24158561]
[-0.11457641 -0.04637358  0.19348748  0.8107151 ],[-0.11013027 -0.01230454  0.17383468  1.12137401],[-0.10925762 -0.01012294  0.18692491  1.15269069],[ 0.0010798  -0.01981445  0.0062911  -0.36834154],1.1048569679260254,[ 517.29589654  429.91753246 -407.45576369 -693.40280211]
[-0.12094083 -0.04612134  0.19102429  0.7773659 ],[-0.11047935 -0.01239182  0.17383468  1.09606671],[-0.10925762 -0.01186811  0.18744822  1.1321737 ],[ 0.00970025 -0.02196239  0.00515832 -0.4261876 ],1.1551387310028076,[ 553.92060311  422.23679849 -390.78192089 -667.22879727]
[-0.12413471 -0.04541168  0.18606023  0.7405627 ],[-0.11082842 -0.01247911  0.17392203  1.07250476],[-0.10925762 -0.01396269  0.18797207  1.10868461],[-2.99931132e-03 -2.39982117e-02 -1.95846370e-04 -4.58532091e-01],1.2061161994934082,[ 522.312759    414.57876185  425.42201038 -677.26033391]
[-0.12426415 -0.04705963  0.1841287   0.7031208 ],[-0.1111775  -0.01256639  0.17400938  1.0489428 ],[-0.10943219 -0.01605686  0.1881465   1.08452442],[-0.03333948 -0.02431574 -0.00465185 -0.48294013],1.2547340393066406,[ 473.48266962  428.31820995  413.03974005 -683.67331008]
[-0.12665728 -0.04466563  0.1881857   0.65961725],[-0.11170107 -0.01265361  0.17400925  1.01665425],[-0.10960663 -0.017977    0.18797207  1.0596931 ],[-0.03391974 -0.02243989 -0.00663989 -0.50509011],1.3050439357757568,[ 518.54671907  400.73483699 -418.34110444 -730.74396294]
[-0.12938394 -0.04063763  0.19003847  0.61552703],[-0.11222465 -0.01274083  0.17400911  0.9843657 ],[-0.1097812  -0.0195476   0.18832094  1.03342368],[-0.00997787 -0.01458117 -0.00564318 -0.53695969],1.354909896850586,[ 536.31039089  387.40882374 -408.16021376 -733.69383216]
[-0.12980685 -0.03946523  0.19384134  0.5832396 ],[-0.11283551 -0.01265368  0.17392203  0.95818576],[-0.10995577 -0.02076933  0.18884452  1.00504504],[ 0.0042123  -0.00491647 -0.0037244  -0.57569061],1.4152958393096924,[ 502.98197344  404.29281279 -419.04534818 -638.26394891]
[-0.12658876 -0.04071956  0.19142373  0.54798746],[-0.11344638 -0.01256653  0.17383495  0.93200582],[-0.11030478 -0.02146748  0.1893681   0.97465304],[-0.00989487  0.00326919 -0.00128319 -0.61302147],1.458071231842041,[ 427.89213444  422.59809079 -389.45553206 -647.35425187]
[-0.12083866 -0.04010746  0.18948033  0.5090479 ],[-0.11397002 -0.01265368  0.1740966   0.90058988],[-0.11100292 -0.02181675  0.18989194  0.94291882],[-0.03403065  0.0103201  -0.00127979 -0.63406383],1.5085780620574951,[ 352.41630424  412.50706355  410.9812414  -667.37224467]
[-0.116341   -0.03792174  0.18595755  0.46747816],[-0.11449366 -0.01274083  0.17435825  0.86917394],[-0.11222465 -0.02199105  0.18954253  0.91060935],[-0.05255133  0.01479025 -0.00921423 -0.63183836],1.5582644939422607,[ 334.75665745  401.73281413  417.17971202 -686.38788208]
[-0.11295488 -0.03439555  0.1806208   0.4236278 ],[-0.11510446 -0.01274096  0.17427117  0.83514005],[-0.11414452 -0.02251463  0.18971724  0.87992973],[-0.05840571  0.0156097  -0.01102873 -0.61355929],1.6176795959472656,[-485.57002328  387.51749365  432.70750806 -720.34618125]
[-0.10762246 -0.03243427  0.17202401  0.38128072],[-0.11571526 -0.0127411   0.17418408  0.80110615],[-0.11693711 -0.02303821  0.19024081  0.84436055],[-0.05270036  0.01692284 -0.00586742 -0.60205484],1.659287452697754,[-568.49720755  394.44719008  457.28847844 -678.98494596]
[-0.10183433 -0.0333804   0.16381247  0.35156268],[-0.11632619 -0.01274096  0.17418395  0.77405354],[-0.11868242 -0.02373636  0.19111353  0.81991273],[-0.04072435  0.0149099  -0.00786374 -0.6301872 ],1.7087349891662598,[-597.28706725  411.13592195  466.21804745 -671.06672447]
[-0.09852403 -0.03003199  0.15634792  0.32478452],[-0.11693712 -0.01274083  0.17418382  0.74700093],[-0.11938056 -0.02426007  0.19128824  0.78693214],[-0.01800107  0.0198933  -0.01053286 -0.65659291],1.75813627243042,[-564.43333656  382.47724301  467.66691478 -587.65678868]
