target,real_target,js,jv,time,action
[-0.18241743 -0.12434936  0.3962971   1.37548585],[-0.19242255 -0.12077675  0.39261177  1.36484742],[-0.19477878 -0.12182404  0.39950589  1.35987397],[ 0.00012064  0.00071701 -0.00023026 -0.00042671],0.0015673637390136719,[-524.7746234   754.07918327   65.46761696  -41.52608166]
[-0.18000977 -0.12766901  0.38730419  1.35600781],[-0.19250977 -0.12077688  0.39269912  1.36484742],[-0.19477878 -0.12164934  0.39950589  1.35987397],[ 0.00106436  0.00098692 -0.00011219 -0.00018176],0.052449703216552734,[-509.97439767  427.04171918  450.72731944 -538.27936222]
[-0.1973236  -0.12974665  0.4049383   1.37439207],[-0.19242255 -0.12077675  0.39261177  1.36484742],[-0.19477878 -0.12164934  0.39950589  1.35987397],[ 7.24034210e-04  1.14953239e-03 -9.68568802e-05 -6.59618124e-04],0.10187888145446777,[ 672.53547104  420.59638956 -480.97693098  535.94890733]
[-0.18663345 -0.11765746  0.39774352  1.36897621],[-0.19233534 -0.12077662  0.39252442  1.36484742],[-0.19477878 -0.1214749   0.39950589  1.35987397],[ 8.32506888e-04  9.30477016e-04 -3.68286050e-05 -2.60354588e-04],0.15186476707458496,[-601.14315578 -475.49659727  432.58479829  366.6400659 ]
[-0.19656084 -0.12175337  0.40519912  1.36902176],[-0.19242255 -0.12077675  0.39269912  1.36484742],[-0.19477878 -0.1214749   0.39950589  1.35987397],[-4.25826520e-05  4.30714747e-04 -6.78637944e-05 -3.16080811e-04],0.20307087898254395,[ 557.8808338   424.91950606 -437.63303362  404.89278247]
[-0.20175907 -0.11874395  0.38037382  1.36774138],[-0.19250977 -0.12077688  0.39287382  1.36484742],[-0.19477878 -0.1214749   0.39950589  1.35987397],[ 8.67543580e-04 -5.30324383e-05 -1.11663724e-04 -1.34062487e-04],0.2515683174133301,[ 512.90594196 -420.83565722  525.48364344  394.97103122]
[-0.18745442 -0.12817558  0.38037382  1.37734742],[-0.19242255 -0.1208641   0.39287382  1.36484742],[-0.19477878 -0.1214749   0.39950589  1.35987397],[ 3.21744856e-04 -1.85595703e-05 -1.22088125e-04  3.78767436e-04],0.3021886348724365,[-651.27726721  463.44138788  419.13206344  475.97900951]
[-0.20483534 -0.12575587  0.39662583  1.36474113],[-0.19233534 -0.12095132  0.39287382  1.36484742],[-0.19495322 -0.12130046  0.39950589  1.35987397],[-0.00191335  0.00060679 -0.00045406 -0.00102001],0.3556504249572754,[707.61099157 390.94782818 333.25644021 314.18951779]
[-0.20483534 -0.12233986  0.40537382  1.37560214],[-0.19233534 -0.12095132  0.39287382  1.36310214],[-0.19512779 -0.12112589  0.39933145  1.35987397],[-0.00583427  0.00075203  0.00029725 -0.00100339],0.4026303291320801,[ 445.9181411   381.71346708 -444.26604915  483.89116111]
[-0.20126652 -0.12519876  0.3807858   1.35406904],[-0.19233534 -0.12095132  0.39287382  1.36135685],[-0.19582594 -0.12112576  0.39950589  1.35996984],[-0.01012019 -0.00053792  0.00025616  0.0025446 ],0.45557522773742676,[ 363.17279007  421.27295891  524.80245849 -554.35318344]
[-0.1867724  -0.12254053  0.3817378   1.34274821],[-0.19242255 -0.12095132  0.39261189  1.35524821],[-0.19634951 -0.12112576  0.39933118  1.36006572],[-0.01091739 -0.00133797 -0.00048972  0.00316545],0.5035772323608398,[-673.24110223  385.42283236  412.76660258 -488.57567773]
[-0.18000977 -0.10845132  0.38357354  1.33829462],[-0.19250977 -0.12095132  0.39234996  1.34913957],[-0.19704766 -0.12147503  0.39950589  1.36025746],[-0.00802867 -0.00074048 -0.00085004  0.00053374],0.5521888732910156,[-597.14588219 -499.8855849   408.81643758 -443.49876744]
[-0.19916681 -0.11836236  0.40476261  1.34870497],[-0.19285884 -0.12086404  0.39226261  1.33866757],[-0.19722223 -0.1214749   0.39933145  1.36025746],[-0.00519975 -0.00123685  0.00076967  0.0005702 ],0.6023445129394531,[ 694.57384819 -343.48694005 -496.95239458 -332.90384616]
