target,real_target,js,jv,time,action
[-0.24927439 -0.24268988  0.62744033  1.2965316 ],[-0.24757495 -0.24495696  0.60283679  1.31946886],[-0.24748766 -0.24504425  0.60283679  1.31946886],[0. 0. 0. 0.],1727361775.1360612,[  4.34453122  -2.60363028  -6.67598747 -49.80933103]
[-0.24962719 -0.24256214  0.62622154  1.2966679 ],[-0.24766223 -0.24486968  0.60283679  1.31946886],[-0.24752466 -0.24492227  0.60291135  1.31946886],[-0.00073997  0.00243944  0.00149134  0.        ],1727361775.137573,[  4.51858077  -3.11620381  -5.11520667 -30.03173554]
[-0.24971959 -0.24258307  0.62593853  1.2968285 ],[-0.24766223 -0.24486968  0.60292399  1.31946886],[-0.24756165 -0.24480029  0.60298605  1.31946886],[-0.00073965  0.00243964  0.00149396  0.        ],1727361775.1392238,[  4.53192572  -2.90624168  -5.04593945 -29.80822051]
[-0.2498343  -0.2425699   0.62574345  1.2970047 ],[-0.24766223 -0.24486968  0.60301119  1.31946886],[-0.24759863 -0.24467832  0.60306076  1.31946886],[-0.00073965  0.00243946  0.0014941   0.        ],1727361775.1407459,[  4.7031229   -2.76753223  -4.98747322 -29.56810626]
[-0.25016475 -0.24257769  0.62596375  1.2972399 ],[-0.24774952 -0.24486968  0.60309848  1.31946886],[-0.24763559 -0.24455635  0.60313547  1.31946886],[-0.00073932  0.00243932  0.00149422  0.        ],1727361775.1423354,[  5.40145494  -2.59322434  -5.02368358 -29.22935619]
[-0.2505168  -0.24257663  0.625171    1.2974607 ],[-0.24783681 -0.24486968  0.60318577  1.31946886],[-0.24767248 -0.24443439  0.60321018  1.31946886],[-0.00073776  0.00243917  0.00149422  0.        ],1727361775.1441097,[  6.06865574  -2.43490377  -4.82263642 -28.9448438 ]
[-0.250856   -0.24260308  0.6209415   1.2975754 ],[-0.24783681 -0.24486968  0.60309857  1.31946886],[-0.24770928 -0.24431244  0.60328491  1.31946886],[-0.00073603  0.00243902  0.00149453  0.        ],1727361775.1456177,[  6.69570055  -2.2350857   -3.84106314 -28.84438388]
[-0.25106463 -0.24258955  0.6174549   1.2974957 ],[-0.24783681 -0.24486968  0.60301137  1.31946886],[-0.24774599 -0.2441905   0.60335969  1.31946886],[-0.00073416  0.00243886  0.00149566  0.        ],1727361775.147114,[  7.00359794  -2.0977133   -3.06503763 -29.04273874]
[-0.25105885 -0.24242221  0.6151885   1.2952472 ],[-0.24783681 -0.24478239  0.60301128  1.31772357],[-0.24778265 -0.24406856  0.60343451  1.31946886],[-0.00073315  0.00243874  0.0014964   0.        ],1727361775.1486938,[  6.83053461  -2.17968428  -2.56226919 -33.05188111]
[-0.25102574 -0.2420956   0.6116499   1.2925117 ],[-0.24783681 -0.2446951   0.60301119  1.31597829],[-0.24781934 -0.24394663  0.60350935  1.31946886],[-0.00073376  0.0024387   0.00149683  0.        ],1727361775.1501343,[  6.67389999  -2.47269106  -1.75449038 -36.89647146]
