target,real_target,js,jv,time,action
[-0.24927439 -0.24268988  0.62744033  1.2965316 ],[-0.24757495 -0.24495696  0.60283679  1.31946886],[-0.24748766 -0.24504425  0.60283679  1.31946886],[0. 0. 0. 0.],1727361503.766865,[  3.24939628 -10.48129766  -5.36562598 -39.86740805]
[-0.24962743 -0.24256274  0.6262188   1.2966679 ],[-0.24766223 -0.24486968  0.60283679  1.31946886],[-0.24752476 -0.24492176  0.60291147  1.31946886],[-0.00074186  0.0024498   0.00149357  0.        ],1727361503.768406,[  4.51895644  -3.11455779  -5.11455287 -30.03173554]
[-0.24971955 -0.24258369  0.62593585  1.2968285 ],[-0.24766223 -0.24486968  0.60292399  1.31946886],[-0.24756174 -0.24479977  0.60298616  1.31946886],[-0.00073965  0.00243964  0.00149396  0.        ],1727361503.7699277,[  4.531524    -2.90473562  -5.04532539 -29.80822051]
[-0.24983418 -0.24257058  0.6257419   1.2970047 ],[-0.24766223 -0.24486968  0.60301119  1.31946886],[-0.24759872 -0.2446778   0.60306087  1.31946886],[-0.00073965  0.00243946  0.0014941   0.        ],1727361503.7714944,[  4.70265555  -2.76592272  -4.98712179 -29.56810626]
[-0.25016472 -0.24257849  0.62596166  1.2972399 ],[-0.24774952 -0.24486968  0.60309848  1.31946886],[-0.24763569 -0.24455583  0.60313558  1.31946886],[-0.00073932  0.00243932  0.00149422  0.        ],1727361503.7730577,[  5.40123106  -2.59147708  -5.02320264 -29.22935619]
[-0.2505167  -0.24257746  0.62516886  1.2974607 ],[-0.24783681 -0.24486968  0.60318577  1.31946886],[-0.24767258 -0.24443388  0.60321029  1.31946886],[-0.00073777  0.00243917  0.00149422  0.        ],1727361503.7746353,[  6.06829014  -2.43312876  -4.8221415  -28.9448438 ]
[-0.25085595 -0.2426039   0.6209392   1.2975754 ],[-0.24783681 -0.24486968  0.60309857  1.31946886],[-0.24770938 -0.24431193  0.60328502  1.31946886],[-0.00073603  0.00243902  0.00149453  0.        ],1727361503.77609,[  6.69538775  -2.23331513  -3.84052761 -28.84438388]
[-0.25106454 -0.24259043  0.61745244  1.2974957 ],[-0.24783681 -0.24486968  0.60301137  1.31946886],[-0.24774609 -0.24418998  0.6033598   1.31946886],[-0.00073416  0.00243886  0.00149566  0.        ],1727361503.777557,[  7.00320765  -2.0958579   -3.06448476 -29.04273874]
[-0.25105882 -0.24242304  0.6151862   1.2952472 ],[-0.24783681 -0.24478239  0.60301128  1.31772357],[-0.24778274 -0.24406805  0.60343462  1.31946886],[-0.00073315  0.00243873  0.0014964   0.        ],1727361503.7790427,[  6.83029891  -2.17792193  -2.56174746 -33.05188111]
[-0.25102562 -0.24209648  0.6116473   1.2925117 ],[-0.24783681 -0.2446951   0.60301119  1.31597829],[-0.24781943 -0.24394611  0.60350946  1.31946886],[-0.00073376  0.0024387   0.00149683  0.        ],1727361503.7804816,[  6.6734264   -2.47083606  -1.75389878 -36.89647146]
