target,real_target,js,jv,time,action
[-0.11198192  0.00179579  0.16304599  1.2496117 ],[-0.10725046 -0.0121301   0.17462017  1.26536369],[-0.10716318 -0.01221738  0.17453295  1.26536369],[0. 0. 0. 0.],1725718500.294758,[  3.26096909 -21.83393629   0.97938756 -38.2342267 ]
[-0.09509075  0.00595719  0.1927074   1.28336369],[-0.10733775 -0.01204281  0.1747074   1.26536369],[-0.10719632 -0.01209124  0.17447773  1.26536369],[-0.0006628   0.00252294 -0.00110445  0.        ],1725718500.294758,[-31.96203918 -24.40241218  -4.31007109  39.96095741]
[-0.09492029 -0.02372162  0.19262017  1.27773002],[-0.10742503 -0.01195553  0.17462017  1.26536369],[-0.10694429 -0.01195965  0.17454449  1.26536369],[0.00504054 0.00263179 0.00133517 0.        ],1725718500.2957556,[-25.09804446  19.79942683  -3.97509921  13.61938181]
[-0.11168376 -0.00237634  0.1678151   1.28213586],[-0.10751232 -0.01186824  0.17453295  1.26536369],[-0.10692588 -0.01204126  0.17461126  1.26536369],[ 0.0003682  -0.00163231  0.0013355   0.        ],1725718500.2957556,[ 16.54932773 -15.82945378   1.74586421  24.2540717 ]
[-0.10543716 -0.02986824  0.18307256  1.26273928],[-0.10751232 -0.01186824  0.17462017  1.26536369],[-0.10695361 -0.01192042  0.17455604  1.26536369],[-0.00055461  0.00241684 -0.00110434  0.        ],1725718500.2957556,[ -5.63895923  27.64968804  -2.0279859  -12.77457885]
[-9.83623895e-02 -9.51967472e-04  1.71939650e-01  1.27432686e+00],[-0.10751232 -0.01186824  0.1747074   1.26536369],[-0.10679963 -0.01202902  0.17462289  1.26536369],[ 0.00307965 -0.00217188  0.00133689  0.        ],1725718500.2957556,[-20.35784666 -18.78270932   0.7032061   17.39341813]
[-0.09325694 -0.02986824  0.17216937  1.28336369],[-0.10751232 -0.01186824  0.1747074   1.26536369],[-0.10670676 -0.0119064   0.17456766  1.26536369],[ 0.00185726  0.00245236 -0.00110451  0.        ],1725718500.2967527,[-30.08308709  27.87265291   0.52475298  28.09767958]
[-0.09102354 -0.02986824  0.1854438   1.25615843],[-0.10751232 -0.01186824  0.1747074   1.26536369],[-0.1065587  -0.0120168   0.17451244  1.26536369],[ 0.00296127 -0.00220795 -0.00110452  0.        ],1725718500.2967527,[-33.28928149  23.54808562  -2.53926256 -25.20946651]
[-0.1025633   0.00513221  0.1927074   1.25367653],[-0.10751232 -0.01186824  0.1747074   1.26361841],[-0.1062135  -0.01210524  0.17457927  1.26536369],[ 0.00690405 -0.00176889  0.00133658  0.        ],1725718500.2967527,[ -2.95099634 -27.78377199  -4.06073246 -16.61836892]
[-0.12038822 -0.0167468   0.1567074   1.24387313],[-0.10751232 -0.01186824  0.1747074   1.26187313],[-0.10605728 -0.01195984  0.17464604  1.26536369],[0.00312439 0.00290795 0.00133542 0.        ],1725718500.2967527,[ 37.02903838   9.47619603   4.31005369 -33.07318275]
[-0.12115505 -0.001255    0.1927074   1.25352108],[-0.1075996  -0.01186818  0.1747074   1.25925511],[-0.10651598 -0.01203741  0.17459086  1.26536369],[-0.00917398 -0.00155144 -0.00110362  0.        ],1725718500.29775,[ 30.71694003 -16.4648138   -4.34907537 -11.0012295 ]
[-0.12245602 -0.01874395  0.18385514  1.25507044],[-0.10768689 -0.01186811  0.1747074   1.2566371 ],[-0.10660848 -0.01191628  0.17465761  1.26536369],[-0.00185009  0.00242268  0.00133515  0.        ],1725718500.29775,[ 33.59701481  11.53711144  -1.93355102 -12.84340286]
[-0.08977411  0.0046315   0.15644561  1.2631921 ],[-0.10777411 -0.01195546  0.17444561  1.25227374],[-0.10681029 -0.01199407  0.17472446  1.26536369],[-0.00403618 -0.00155588  0.00133696  0.        ],1725718500.29775,[-48.54865477 -25.3080102    4.29830998   1.03190139]
[-0.11547367 -0.00885532  0.17158065  1.26591038],[-0.10786133 -0.01204281  0.17418382  1.24791038],[-0.10249016 -0.01185972  0.17466928  1.26536369],[ 0.08640268  0.00268715 -0.00110364  0.        ],1725718500.29775,[38.95130484 -2.01307692  0.52638184  2.0263996 ]
[-0.10565302 -0.03004275  0.15618382  1.22859506],[-0.10794861 -0.01204275  0.17418382  1.24092907],[-0.10319546 -0.01174075  0.17461405  1.26536369],[-0.01410601  0.00237936 -0.00110455  0.        ],1725718500.298747,[  0.99328796  27.21312454   4.20929537 -66.44594291]
[-0.10832119  0.00595732  0.17518506  1.2467182 ],[-0.1080359  -0.01204268  0.17418382  1.23394775],[-0.10322863 -0.01184609  0.17455887  1.26536369],[-0.0006634  -0.00210688 -0.00110365  0.        ],1725718500.298747,[ 11.68058875 -28.67657438  -0.32985005 -15.91294709]
[-0.11404112 -0.0239832   0.17335426  1.21905277],[-0.1082104  -0.01204275  0.17427117  1.22347581],[-0.10326002 -0.01169502  0.17462575  1.26536369],[-0.00062789  0.00302155  0.00133766  0.        ],1725718500.298747,[ 24.77151311  20.53433343   0.29885643 -74.40983064]
[-0.09038491  0.00314691  0.18921953  1.23100387],[-0.10838491 -0.01204281  0.17435852  1.21300387],[-0.10326104 -0.01177752  0.17457052  1.25335936],[-2.04394316e-05 -1.65006416e-03 -1.10456904e-03 -2.40086727e-01],1725718500.299745,[-36.22261392 -23.6014455   -3.38326007 -18.01062478]
[-0.12664669 -0.00547012  0.19218382  1.18104125],[-0.10864669 -0.01213003  0.17418382  1.19904125],[-0.10263258 -0.01164796  0.17463732  1.25335936],[0.0125693  0.00259113 0.001336   0.        ],1725718500.299745,[  64.70950616   -6.90083431   -3.88943476 -119.44196527]
