target,real_target,js,jv,time,action
[-0.18430683  0.04337157  0.14093518  0.51661748],[-0.18430683  0.04337157  0.14093518  0.51661748],[-0.18430683  0.04345879  0.14084797  0.51661748],[0. 0. 0. 0.],1726151425.144897,[ -3.29363445   3.0712887   -1.66090525 -12.47602605]
[-0.18430683  0.04328436  0.1410224   0.51661748],[-0.18430683  0.04328436  0.1410224   0.51661748],[-0.18414057  0.04338097  0.14091457  0.51661748],[ 0.00332528 -0.00155643  0.00133198  0.        ],1726151425.1458936,[ 0.4129336   0.12887909 -0.02393126  0.        ]
[-0.18430683  0.04328436  0.1410224   0.51661748],[-0.18430683  0.04328436  0.1410224   0.51661748],[-0.18417585  0.04330319  0.1409812   0.51661748],[-0.00070565 -0.00155573  0.00133267  0.        ],1726151425.1458936,[ 0.25986446  0.01370265 -0.0083924   0.        ]
[-0.18430683  0.04328436  0.1410224   0.51661748],[-0.18430683  0.04328436  0.1410224   0.51661748],[-0.18421114  0.0432254   0.14104783  0.51661748],[-0.00070579 -0.00155569  0.00133268  0.        ],1726151425.1458936,[ 0.18610701 -0.08897269  0.00626714  0.        ]
[-0.18430683  0.04328436  0.1410224   0.51661748],[-0.18430683  0.04328436  0.1410224   0.51661748],[-0.18424643  0.04334447  0.14099302  0.51661748],[-0.00070586  0.00238132 -0.00109621  0.        ],1726151425.1458936,[ 0.11234292  0.09641508 -0.00701532  0.        ]
[-0.18430683  0.04328436  0.1410224   0.51661748],[-0.18430683  0.04328436  0.1410224   0.51661748],[-0.18428173  0.04326668  0.14105966  0.51661748],[-0.00070594 -0.00155571  0.00133269  0.        ],1726151425.1458936,[ 0.03857106 -0.03448261  0.00886839  0.        ]
[-0.18439405  0.04328422  0.14110975  0.51661748],[-0.18439405  0.04328422  0.14110975  0.51661748],[-0.18431703  0.04338575  0.14100485  0.51661748],[-0.00070601  0.00238131 -0.00109621  0.        ],1726151425.1458936,[ 0.18140243  0.15109803 -0.02451173  0.        ]
[-0.18448126  0.04328409  0.1411971   0.51661748],[-0.18448126  0.04328409  0.1411971   0.51661748],[-0.18435232  0.04330796  0.14107148  0.51661748],[-0.00070593 -0.00155573  0.00133268  0.        ],1726151425.1458936,[ 0.28991723  0.0203737  -0.02784519  0.        ]
[-0.18448126  0.04328409  0.1411971   0.51661748],[-0.18448126  0.04328409  0.1411971   0.51661748],[-0.18438762  0.04323018  0.14113811  0.51661748],[-0.00070587 -0.00155569  0.00133269  0.        ],1726151425.1468904,[ 0.18182706 -0.08232071 -0.0123051   0.        ]
[-0.18448126  0.04328409  0.1411971   0.51661748],[-0.18448126  0.04328409  0.1411971   0.51661748],[-0.18442292  0.04334924  0.14120475  0.51661748],[-0.00070597  0.00238132  0.0013327   0.        ],1726151425.1468904,[0.10805154 0.10306697 0.00235466 0.        ]
[-0.18448126  0.04328409  0.1411971   0.51487213],[-0.18448126  0.04328409  0.1411971   0.51487213],[-0.18445822  0.04327146  0.14114994  0.51661748],[-0.00070604 -0.00155571 -0.00109625  0.        ],1726151425.1468904,[ 0.03426877 -0.02783086 -0.01092824 -3.14161777]
[-0.18448126  0.04328409  0.1411971   0.51312679],[-0.18448126  0.04328409  0.1411971   0.51312679],[-0.18449352  0.04339052  0.14121657  0.51661748],[-0.00070611  0.00238131  0.00133271  0.        ],1726151425.1468904,[-3.95216665e-02  1.57556168e-01  4.95572445e-03 -5.44547081e+00]
[-0.18448126  0.04319687  0.1411971   0.51050881],[-0.18448126  0.04319687  0.1411971   0.51050881],[-0.18432524  0.04331273  0.14116176  0.51661748],[ 0.00336565 -0.00155573 -0.00109625  0.        ],1726151425.1468904,[ 3.92321273e-01  1.54288988e-01 -8.32721013e-03 -9.32007909e+00]
[-0.18448126  0.04310966  0.1411971   0.50789082],[-0.18448126  0.04310966  0.1411971   0.50789082],[-0.18436053  0.04323495  0.1412284   0.51661748],[-0.00070577 -0.00155571  0.00133271  0.        ],1726151425.1468904,[ 2.38442528e-01  1.66740172e-01  7.55678685e-03 -1.27758193e+01]
[-0.18448126  0.0430223   0.14128445  0.50265484],[-0.18448126  0.0430223   0.14128445  0.50265484],[-0.18439583  0.04315716  0.14117358  0.51661748],[-0.00070591 -0.0015557  -0.00109625  0.        ],1726151425.1468904,[  0.16467232   0.17938857  -0.02582381 -20.94395936]
[-0.18448126  0.04293495  0.1413718   0.49741885],[-0.18448126  0.04293495  0.1413718   0.49741885],[-0.18443112  0.04307938  0.14124022  0.51661748],[-0.00070598 -0.00155569  0.00133271  0.        ],1726151425.1468904,[  0.0908955    0.19201872  -0.02915699 -27.85545945]
[-0.18456855  0.04293502  0.14093544  0.48956487],[-0.18456855  0.04293502  0.14093544  0.48956487],[-0.18446643  0.0430016   0.14130685  0.51661748],[-0.00070606 -0.00155567  0.00133271  0.        ],1726151425.1478894,[  0.23390687   0.07672361   0.08678064 -39.47935939]
[-0.18465585  0.04293508  0.14049909  0.48171088],[-0.18465585  0.04293508  0.14049909  0.48171088],[-0.18450173  0.04292381  0.14125204  0.51661748],[-0.00070597 -0.00155564 -0.00109626  0.        ],1726151425.1478894,[ 3.42572535e-01 -2.60365687e-02  1.69496357e-01 -4.98466194e+01]
[-0.18474313  0.0428478   0.14049909  0.47211157],[-0.18474313  0.0428478   0.14049909  0.47211157],[-0.18453702  0.04304288  0.14119723  0.51661748],[-0.00070591  0.00238127 -0.00109624  0.        ],1726151425.1478894,[  0.45122572   0.2870869    0.15303926 -63.3554703 ]
[-0.18483041  0.04276051  0.14049909  0.46251225],[-0.18483041  0.04276051  0.14049909  0.46251225],[-0.18457231  0.04296509  0.14114242  0.51661748],[-0.00070585 -0.00155568 -0.00109623  0.        ],1726151425.1478894,[  0.55988856   0.27140884   0.14098077 -76.02656364]
[-0.18491763  0.04284773  0.14058631  0.45029496],[-0.18491763  0.04284773  0.14058631  0.45029496],[-0.1846076   0.04288731  0.14108761  0.50115151],[-0.00070578 -0.00155566 -0.00109622 -0.30931931],1726151425.1478894,[ 6.68391796e-01  2.85904265e-02  1.08853922e-01 -6.55712924e+01]
[-0.18500485  0.04293495  0.14067353  0.43807766],[-0.18500485  0.04293495  0.14067353  0.43807766],[-0.18464289  0.04280953  0.1410328   0.50115151],[-0.00070571 -0.0015556  -0.00109621  0.        ],1726151425.148885,[ 7.76928570e-01 -1.89207207e-01  7.76063886e-02 -8.91217893e+01]
